first_stage,second_stage,length_mm,eta_min,eta_mean,eta_max
v6_l2_u1,v6_l2_u1,4.75,0.3676876841158422,0.7261447425434301,0.9999547837909738
v6_l2_u1,v6_l2_u08,4.75,0.3710491233425135,0.7254583453660163,0.9998080385941966
v6_l2_u1,v6_l24_u15,5.75,0.3226772031408325,0.6981771936677891,0.9994129950348278
v6_l2_u1,v6_l24_u08,6.25,0.3110834278588486,0.6878865006685237,0.9999553941861352
v6_l2_u1,v6_uniform,5.5,0.3344537350673389,0.696276579920133,0.995302637691732
v6_l2_u1,v6_l24_u32,5.5,0.3171080853893151,0.6822258784300859,0.9908015007289608
v6_l2_u1,v5_h16off,5.5,0.31016149374286506,0.6909130447982494,0.9998663624798161
v6_l2_u1,v5_h15,6.0,0.2987646796736859,0.665002266388732,0.9842445377996791
v6_l2_u1,v5_h17p5,6.25,0.337991810270262,0.6857852334672334,0.999337903367107
v6_l2_u1,v5_h12p5,7.25,0.24435981008095226,0.6153154430222607,0.9617019988306424
v6_l2_u1,v5_pair05,16.0,0.201822880876506,0.482111224133512,0.9177083016364016
v6_l2_u1,v5_pair15,15.75,0.18088798741318016,0.4378383179831492,0.8872099936568003
v6_l2_u08,v6_l2_u1,4.75,0.37051943625323436,0.7299512489372215,0.9996332395592693
v6_l2_u08,v6_l2_u08,4.75,0.3736721927630043,0.7296753776662104,0.9998581215556404
v6_l2_u08,v6_l24_u15,5.75,0.325026087412541,0.7021373346281864,0.9993505428107773
v6_l2_u08,v6_l24_u08,6.25,0.31340158438670246,0.6916535845207753,0.9991009081087096
v6_l2_u08,v6_uniform,5.5,0.3371669298350042,0.6995675336709832,0.9951815128134228
v6_l2_u08,v6_l24_u32,5.5,0.3195873177220404,0.6848127173305993,0.9888648102551162
v6_l2_u08,v5_h16off,5.5,0.31236203996908785,0.6942440257115209,0.9994454127818879
v6_l2_u08,v5_h15,6.0,0.3012132747904706,0.6678287281324159,0.9835414903163713
v6_l2_u08,v5_h17p5,7.0,0.3339739107367952,0.6876243753609026,0.9988521167676556
v6_l2_u08,v5_h12p5,7.0,0.24647169321562964,0.6182570488472864,0.955646401654226
v6_l2_u08,v5_pair05,16.0,0.20389328784605776,0.4859672510047073,0.9187966497015482
v6_l2_u08,v5_pair15,15.75,0.1828249041142042,0.44133571844390024,0.8880186623737737
v6_l24_u15,v6_l2_u1,4.75,0.32349387003970304,0.6994959762654521,0.9996481142329932
v6_l24_u15,v6_l2_u08,5.0,0.32420857374074374,0.6987129916292738,0.9986430233589495
v6_l24_u15,v6_l24_u15,5.75,0.2827697787197923,0.6745177050735944,0.9998106271142294
v6_l24_u15,v6_l24_u08,6.25,0.2722006332730581,0.664825708248855,0.9997713419688984
v6_l24_u15,v6_uniform,5.5,0.29206713498373066,0.6721812182393011,0.9997600527267763
v6_l24_u15,v6_l24_u32,5.5,0.27816527424618565,0.6591518518007644,0.997678243876931
v6_l24_u15,v5_h16off,5.5,0.2714709823692278,0.668087524758632,0.9999277236762971
v6_l24_u15,v5_h15,6.25,0.25945896092896537,0.6441107276009195,0.9969186558944365
v6_l24_u15,v5_h17p5,5.5,0.3023794647048084,0.66010470934745,0.9998309859835796
v6_l24_u15,v5_h12p5,7.25,0.21271254605685874,0.5981076121277876,0.9778825713345485
v6_l24_u15,v5_pair05,16.25,0.17492452130458244,0.46992518916243264,0.9617204110510161
v6_l24_u15,v5_pair15,16.0,0.15657846879613133,0.42755280839744375,0.9380038372966049
v6_l24_u08,v6_l2_u1,5.0,0.3116298857171475,0.697354329039788,0.9999653645122
v6_l24_u08,v6_l2_u08,5.0,0.31448880103362253,0.6966023778721137,0.9997828020443722
v6_l24_u08,v6_l24_u15,6.0,0.27174840745158996,0.6732798442876754,0.9993883966411193
v6_l24_u08,v6_l24_u08,6.5,0.26094847718156916,0.6630594766182221,0.9999113062828434
v6_l24_u08,v6_uniform,5.75,0.28240939515810526,0.6705244292114464,0.9981993365930378
v6_l24_u08,v6_l24_u32,5.75,0.2676363544728418,0.6571695333756165,0.9986102014245669
v6_l24_u08,v5_h16off,5.75,0.26099196074030523,0.6666902252621121,0.9996966559707436
v6_l24_u08,v5_h15,6.25,0.2512603859887592,0.6422855647607407,0.9988132821308561
v6_l24_u08,v5_h17p5,6.75,0.2817552580297321,0.6552593836649898,0.9997331099990816
v6_l24_u08,v5_h12p5,7.25,0.2051733185007275,0.5982548614177253,0.9803867326764393
v6_l24_u08,v5_pair05,16.5,0.16879952667855797,0.4716235366646479,0.9638778200426924
v6_l24_u08,v5_pair15,16.0,0.15140582254364315,0.42939350675703375,0.950588438283084
v6_uniform,v6_l2_u1,5.0,0.33071240028032317,0.6940818329728896,0.9963897621454749
v6_uniform,v6_l2_u08,5.0,0.3336891323316489,0.6919468526253795,0.9949212773729698
v6_uniform,v6_l24_u15,6.0,0.28928242285516276,0.668009035442228,0.9993461288592281
v6_uniform,v6_l24_u08,6.25,0.27873663308108876,0.6571315725946689,0.9996009762810147
v6_uniform,v6_uniform,5.75,0.3001314905493992,0.6682571478068702,0.9993253535780229
v6_uniform,v6_l24_u32,5.5,0.2862349144463691,0.6560238979578763,0.9993327130539762
v6_uniform,v5_h16off,5.5,0.27971676481483143,0.6627479566479955,0.999013560625067
v6_uniform,v5_h15,6.25,0.26740766582703956,0.6405736939699418,0.9969397390979664
v6_uniform,v5_h17p5,5.75,0.3096205419559131,0.6534420030830632,0.9985418527094105
v6_uniform,v5_h12p5,7.25,0.21944325581642696,0.5941354946809879,0.9862683052495589
v6_uniform,v5_pair05,16.25,0.18015531540243018,0.46696259096294784,0.9523359373058626
v6_uniform,v5_pair15,16.0,0.16131516689278586,0.4251338631992641,0.926810767430924
v6_l24_u32,v6_l2_u1,4.5,0.3155877523866783,0.6794214080959353,0.9911331505077128
v6_l24_u32,v6_l2_u08,4.5,0.3185635554906319,0.6771344884544255,0.9895334224851086
v6_l24_u32,v6_l24_u15,5.5,0.2759651809739289,0.6544903857576388,0.9972309346861822
v6_l24_u32,v6_l24_u08,6.0,0.26554575429616023,0.6435985847765016,0.998250401715652
v6_l24_u32,v6_uniform,5.25,0.28610981151002646,0.6549019893305772,0.9993781600701911
v6_l24_u32,v6_l24_u32,5.0,0.2709856106787224,0.6431127011375065,0.9999417478295468
v6_l24_u32,v5_h16off,5.25,0.26475843552583495,0.6497951879351832,0.9987348023297948
v6_l24_u32,v5_h15,5.75,0.2546541026889507,0.6284484849042442,0.9985641818583777
v6_l24_u32,v5_h17p5,5.5,0.29338483114160246,0.6394335834079194,0.9957182592402093
v6_l24_u32,v5_h12p5,6.75,0.20862381386304885,0.5839343039383383,0.9900787045827814
v6_l24_u32,v5_pair05,15.75,0.1700279053983384,0.4603318050387598,0.9527287407265934
v6_l24_u32,v5_pair15,15.25,0.1525920435817914,0.4198524715315038,0.9356550752381153
v5_h16off,v6_l2_u1,5.0,0.3116747330992365,0.6881795503378267,0.9997069585544602
v5_h16off,v6_l2_u08,5.25,0.312217982982911,0.6873955433274652,0.9989832374410565
v5_h16off,v6_l24_u15,6.0,0.2722193600500249,0.6640019695102501,0.9993732565360082
v5_h16off,v6_l24_u08,6.5,0.26181999032230935,0.6549869998909619,0.9995513102432669
v5_h16off,v6_uniform,5.75,0.28178669828426295,0.6615681329563492,0.9986500974438688
v5_h16off,v6_l24_u32,5.75,0.26751771065282093,0.649144218547868,0.9998871276276585
v5_h16off,v5_h16off,5.75,0.26133240596631074,0.6579300755812125,0.9999788834546409
v5_h16off,v5_h15,6.5,0.24971802865018275,0.6341005491048323,0.9984972752075905
v5_h16off,v5_h17p5,5.25,0.2955388867650008,0.6504235498944138,0.99995119372214
v5_h16off,v5_h12p5,7.5,0.20426407192189625,0.588956749101555,0.9824622207608245
