first_stage,second_stage,length_mm,eta_min,eta_mean,eta_max
v6_l2_u08,v6_l2_u08,4.25,0.34752249785827605,0.7292657782133072,0.9999504363257766
v6_l2_u08,v6_l2_u08,4.27,0.3485696473726937,0.7292894948749831,0.9999288798348853
v6_l2_u08,v6_l2_u08,4.289999999999999,0.3496237320020287,0.7293126007334216,0.9998982906352365
v6_l2_u08,v6_l2_u08,4.309999999999999,0.35068479193571805,0.7293350957564695,0.9998586722013337
v6_l2_u08,v6_l2_u08,4.329999999999998,0.3517528675625774,0.7293569799127474,0.9998100290302769
v6_l2_u08,v6_l2_u08,4.349999999999998,0.352827999469328,0.7293782531714185,0.9998840311684776
v6_l2_u08,v6_l2_u08,4.369999999999997,0.3539102284390467,0.7293989155019596,0.9999497907254357
v6_l2_u08,v6_l2_u08,4.389999999999997,0.35499959544953247,0.729418966873933,0.9999774902818416
v6_l2_u08,v6_l2_u08,4.409999999999997,0.35609614167159237,0.7294384072567616,0.9999671226857111
v6_l2_u08,v6_l2_u08,4.429999999999996,0.35719990846724253,0.729457236619504,0.9999186906180847
v6_l2_u08,v6_l2_u08,4.449999999999996,0.3583109373878204,0.7294754549306336,0.9998322065913143
v6_l2_u08,v6_l2_u08,4.469999999999995,0.3594292701720074,0.7294930621578177,0.9998439640341329
v6_l2_u08,v6_l2_u08,4.489999999999995,0.36055494874376315,0.7295100582676997,0.9999119944144131
v6_l2_u08,v6_l2_u08,4.5099999999999945,0.3616880152101616,0.7295264432256826,0.9999583857991542
v6_l2_u08,v6_l2_u08,4.529999999999994,0.3628285118591327,0.7295422169957152,0.9999831301370543
v6_l2_u08,v6_l2_u08,4.549999999999994,0.3639764811571055,0.7295573795400785,0.9999862231319022
v6_l2_u08,v6_l2_u08,4.569999999999993,0.36513196574654827,0.7295719308191763,0.9999676642443731
v6_l2_u08,v6_l2_u08,4.589999999999993,0.36629500844340807,0.7295858707913259,0.9999274566922488
v6_l2_u08,v6_l2_u08,4.609999999999992,0.3674656522344399,0.7295991994125516,0.9999409652155902
v6_l2_u08,v6_l2_u08,4.629999999999992,0.3686439402744298,0.7296119166363809,0.9999562632291041
v6_l2_u08,v6_l2_u08,4.6499999999999915,0.36982991588330527,0.7296240224136405,0.9999625164301625
v6_l2_u08,v6_l2_u08,4.669999999999991,0.37102362254313015,0.7296355166922565,0.9999597241196422
v6_l2_u08,v6_l2_u08,4.689999999999991,0.37222510389498586,0.7296463994170553,0.9999478866206958
v6_l2_u08,v6_l2_u08,4.70999999999999,0.37343440373572845,0.7296566705295678,0.999927005278674
v6_l2_u08,v6_l2_u08,4.72999999999999,0.3739083149317753,0.7296663299678339,0.9998970824608071
v6_l2_u08,v6_l2_u08,4.749999999999989,0.3736721927630043,0.7296753776662104,0.9998581215556404
v6_l2_u08,v6_l2_u08,4.769999999999989,0.3734404088416091,0.7296838135551806,0.9998101269722371
v6_l2_u08,v6_l2_u08,4.7899999999999885,0.3732129558107335,0.7296916375611658,0.9997531041391317
v6_l2_u08,v6_l2_u08,4.809999999999988,0.37298982644906964,0.729698849606339,0.9996870595030439
v6_l2_u08,v6_l2_u08,4.829999999999988,0.3727710136707488,0.729705449608441,0.9996120005273545
v6_l2_u08,v6_l2_u08,4.849999999999987,0.3725565105252369,0.7297114374805976,0.9995279356903433
v6_l2_u08,v6_l2_u08,4.869999999999987,0.37234631019722597,0.729716813131141,0.9994793751462474
v6_l2_u08,v6_l2_u08,4.889999999999986,0.3721404060065297,0.7297215764634306,0.9996180342674431
v6_l2_u08,v6_l2_u08,4.909999999999986,0.37193879140797875,0.7297257273756783,0.9997346890050116
v6_l2_u08,v6_l2_u08,4.9299999999999855,0.37174145999131597,0.7297292657607752,0.9998293188869471
v6_l2_u08,v6_l2_u08,4.949999999999985,0.37154840548109386,0.7297321915061195,0.9999019072993461
v6_l2_u08,v6_l2_u08,4.969999999999985,0.3713596217365718,0.7297345044934487,0.999952781006001
v6_l2_u08,v6_l2_u08,4.989999999999984,0.37117510275161625,0.729736204598672,0.9999809125909518
v6_l2_u08,v6_l2_u08,5.009999999999984,0.37099484265459937,0.7297372916917062,0.9999873155879184
v6_l2_u08,v6_l2_u08,5.029999999999983,0.37081883570830126,0.7297377656363133,0.9999716493567414
v6_l2_u08,v6_l2_u08,5.049999999999983,0.3706470763098117,0.7297376262899409,0.9999354595236356
v6_l2_u08,v6_l2_u08,5.0699999999999825,0.3704795589904352,0.7297368735035643,0.9999508410873217
v6_l2_u08,v6_l2_u08,5.089999999999982,0.3703162784155959,0.7297355071215315,0.999957138676782
v6_l2_u08,v6_l2_u08,5.109999999999982,0.3701572293847441,0.7297335269814099,0.9999543515887442
v6_l2_u08,v6_l2_u08,5.129999999999981,0.37000240683126495,0.7297309329138365,0.9999424801451753
v6_l2_u08,v6_l2_u08,5.149999999999981,0.3698518058223881,0.7297277247423692,0.9999215256932048
v6_l2_u08,v6_l2_u08,5.16999999999998,0.36970542155910036,0.7297239022833415,0.999891490604806
v6_l2_u08,v6_l2_u08,5.18999999999998,0.36956324937605756,0.7297194653457185,0.9998523782762303
v6_l2_u08,v6_l2_u08,5.2099999999999795,0.36937993905171485,0.729714413730957,0.999804193127206
v6_l2_u08,v6_l2_u08,5.229999999999979,0.36913601297321635,0.7297087472328676,0.9997469405998871
v6_l2_u08,v6_l2_u08,5.249999999999979,0.36889638005317826,0.7297024656374776,0.9996806271575676
