freq_GHz,sum_eta_H,sum_eta_E_leak,sum_eta_reflection,sum_eta_all_ports,sum_balance_gap,diff_eta_E,diff_eta_H_leak
9.0,0.4981813868423877,2.0625767694021732e-06,0.5018165505806227,0.9999999999997798,2.2015722578316854e-13,0.8664141472818683,8.149491173163507e-07
9.025,0.5024821812771898,2.065364677507148e-06,0.49751560590886246,0.9999998525507298,1.4744927023802035e-07,0.8653577780569414,8.162028551190847e-07
9.05,0.5067503000341904,2.0679727539871967e-06,0.49324746590457,0.9999998339115144,1.6608848563137713e-07,0.8642924475773948,8.172489821053604e-07
9.075,0.510986883221888,2.070368826301041e-06,0.48901091755873044,0.9999998711494448,1.2885055522549038e-07,0.8632181330336262,8.180913272235704e-07
9.1,0.515193409678532,2.072521875472847e-06,0.48480444008675816,0.9999999222871656,7.771283438984256e-08,0.8621348067484148,8.187344664707809e-07
9.125,0.5193716948540529,2.074402059124137e-06,0.4806261969864565,0.9999999662425685,3.375743151678989e-08,0.861042437208507,8.19183710889196e-07
9.15,0.5235238860064639,2.0759807856698067e-06,0.47647403322823756,0.9999999952154872,4.78451278596026e-09,0.8599409899143461,8.194451066354517e-07
9.175,0.5276524548028959,2.077230874760318e-06,0.47234547708795327,1.0000000091217238,-9.121723820726402e-09,0.8588304280446853,8.1952539832147e-07
9.2,0.5317601874510525,2.078126630449675e-06,0.46823774612078584,1.0000000116984686,-1.1698468638243753e-08,0.8577107130011503,8.194320384057286e-07
9.225,0.5358501724637431,2.078643960556416e-06,0.464147756793308,1.0000000079010116,-7.901011622735155e-09,0.8565818048200151,8.191731717666277e-07
9.25,0.5399257862261468,2.0787605640700483e-06,0.46007213736474944,1.0000000023514604,-2.351460359761859e-09,0.8554436624961772,8.187575303069779e-07
9.275,0.5439906764685224,2.0784560643142026e-06,0.45600724359458034,0.999999998519167,1.4808330117688229e-09,0.8542962442224342,8.181944588957318e-07
9.3,0.5480487438175855,2.0777121951973086e-06,0.4519491768841106,0.9999999984138913,1.5861086888335763e-09,0.8531395075808822,8.174938441090099e-07
9.325,0.5521041215381951,2.076512961248157e-06,0.44789380460354444,1.000000002654701,-2.654700903548246e-09,0.8519734096606123,8.166660470087291e-07
9.35,0.5561611536148356,2.0748448953516855e-06,0.44383678226437373,1.0000000107241047,-1.0724104715365002e-08,0.8507979071697452,8.157219155343963e-07
9.375,0.560224371278159,2.0726971435815813e-06,0.4397735773455105,1.0000000213208131,-2.1320813115011106e-08,0.8496129564860299,8.146726305212944e-07
9.4,0.5642984680843084,2.0700618126539864e-06,0.4356994945912862,1.0000000327374072,-3.273740722953278e-08,0.8484185137122962,8.135297220690743e-07
9.425,0.5683882736352013,2.0669340545648076e-06,0.4316097026314791,1.000000043200735,-4.320073498931265e-08,0.8472145347060217,8.12305006493025e-07
9.45,0.5724987259977775,2.0633124001850927e-06,0.4274992618259144,1.000000051136092,-5.11360920274484e-08,0.8460009751125364,8.11010508802491e-07
9.475,0.576634842884271,2.0591989577223222e-06,0.4233631532914268,1.0000000553746555,-5.53746555276291e-08,0.844777790367136,8.096583907502842e-07
9.5,0.5808016915796942,2.054599592994011e-06,0.41919630906776234,1.0000000552470496,-5.5247049601803155e-08,0.8435449357336849,8.082609280066315e-07
9.525,0.5850043576378403,2.049524255478988e-06,0.41499364345867623,1.000000050620772,-5.062077201856141e-08,0.8423023663079775,8.068304319875483e-07
9.55,0.5892479123064778,2.0439871438405827e-06,0.4107500855712378,1.0000000418648594,-4.1864859356977036e-08,0.8410500370446976,8.053792028498442e-07
9.575,0.5935373785953545,2.038007056583572e-06,0.40646061315539156,1.0000000297578027,-2.975780266645245e-08,0.839787902781599,8.039194564633695e-07
9.6,0.5978776959352049,2.0316074756608143e-06,0.40212028784661524,1.0000000153892958,-1.5389295837664463e-08,0.8385159182600677,8.024633054539218e-07
9.625,0.6022736832794218,2.0248170126419357e-06,0.39772429190315156,0.999999999999586,4.1400216588272087e-13,0.8372340381544053,8.010226722654524e-07
9.65,0.6067300005172144,2.0176694675403046e-06,0.39326796668729946,0.9999999848739815,1.5126018548805575e-08,0.8359422171040525,7.996092175800093e-07
9.675,0.6112511080359104,2.0102042496793046e-06,0.3887468529646596,0.9999999712048198,2.8795180240237528e-08,0.8346404097428378,7.982343282822549e-07
9.7,0.615841224221889,2.0024664479384852e-06,0.38415673329841205,0.999999959986749,4.001325104585618e-08,0.8333285707311221,7.969090658683763e-07
9.725,0.6205042807185642,1.9945072304204514e-06,0.37949367673742807,0.9999999519632227,4.8036777333670955e-08,0.8320066547875677,7.956440798838396e-07
9.75,0.6252438751687556,1.986383899008106e-06,0.3747540860003016,0.9999999475529562,5.2447043819014993e-08,0.8306746167199167,7.944495573396651e-07
9.775,0.6300632212510918,1.9781602750484854e-06,0.3699347474582747,0.9999999468696416,5.3130358446118464e-08,0.8293324114540956,7.933351721856552e-07
9.8,0.6349650957013195,1.9699067609648187e-06,0.3650328841050561,0.9999999497131367,5.028686334007659e-08,0.8279799940623113,7.923100407639951e-07
9.825,0.6399517821211311,1.961700604338101e-06,0.3600462118013038,0.9999999556230393,4.437696066172947e-08,0.8266173197870388,7.913826654344874e-07
9.85,0.6450250112754168,1.9536259951675276e-06,0.3549729990301629,0.9999999639315749,3.6068425135482585e-08,0.8252443440535776,7.90560823568229e-07
9.875,0.6501858976772281,1.9457742731629355e-06,0.34981213038593906,0.9999999738374403,2.6162559674247632e-08,0.8238610225030545,7.898515722254652e-07
9.9,0.6554348722238607,1.9382439600638757e-06,0.3445631740106942,0.9999999844785149,1.552148509720297e-08,0.8224673109908773,7.892611241608028e-07
9.925,0.6607716107157322,1.931140842242044e-06,0.3392264531576574,0.9999999950142319,4.985768131682278e-09,0.8210631656031576,7.887947914635215e-07
9.95,0.6661949581136036,1.9245780000366003e-06,0.33380312199185946,1.0000000046834632,-4.683463172838742e-09,0.8196485426654815,7.884569511183706e-07
9.975,0.6717028484840416,1.918675721085381e-06,0.3282952457054654,1.000000012865228,-1.2865227994041106e-08,0.8182233987415725,7.882508738049604e-07
10.0,0.6772922206215967,1.913561556474566e-06,0.3227058849349125,1.0000000191180656,-1.9118065575085552e-08,0.8167876906420948,7.88178741444072e-07
10.025,0.6829589294895878,1.9093699165866123e-06,0.31703918434000433,1.0000000231995088,-2.319950875850907e-08,0.8153413754160359,7.882414866954149e-07
