freq_GHz,sum_eta_H,sum_eta_E_leak,sum_eta_reflection,sum_eta_all_ports,sum_balance_gap,diff_eta_E,diff_eta_H_leak
9.0,0.5932474366701064,9.852791508389107e-06,0.4067427105382636,0.9999999999998783,1.2168044349891716e-13,0.32008377198855387,2.0895816929108156e-07
9.025,0.5984454954133962,1.0057985786466693e-05,0.4015444959721873,1.0000000493713699,-4.937136988125701e-08,0.3201903689389486,2.1199601103424538e-07
9.05,0.6035398718715338,1.0265720814523906e-05,0.39644989916198925,1.0000000367543376,-3.6754337573441376e-08,0.3202963376010782,2.1535132665289368e-07
9.075,0.608532736785674,1.0476042641795727e-05,0.3914567849710272,0.999999997799343,2.2006569899701844e-09,0.32040198980175366,2.190460533514147e-07
9.1,0.6134266450615254,1.068900462294398e-05,0.38656262041218126,0.9999999544783296,4.5521670433146255e-08,0.3205076266389302,2.2310236583577557e-07
9.125,0.6182244951500698,1.0904665904638426e-05,0.3817645192210344,0.9999999190370089,8.096299108917293e-08,0.3206135388966256,2.2754265858315383e-07
9.15,0.6229294894949863,1.1123089948208377e-05,0.3770592844474337,0.9999998970323681,1.0296763186534719e-07,0.32072000744565704,2.3238953892891623e-07
9.175,0.6275450962618839,1.1344343277690856e-05,0.37244344904949656,0.9999998896546581,1.1034534186382672e-07,0.3208273036218969,2.376658246816892e-07
9.2,0.6320750125418308,1.1568494236385018e-05,0.3679133143940052,0.9999998954300724,1.045699276058798e-07,0.32093568959485497,2.4339454368450625e-07
9.225,0.6365231291794053,1.1795612003351144e-05,0.3634649866771565,0.9999999114685652,8.853143484977011e-08,0.3210454187061837,2.495989463901114e-07
9.25,0.6408934973109125,1.2025765549071232e-05,0.3590944112555689,0.9999999343320305,6.56679695065776e-08,0.3211567358110943,2.563025152410489e-07
9.275,0.6451902966984895,1.225902280177681e-05,0.3547974048915114,0.9999999606128027,3.9387197281470776e-08,0.3212698775934081,2.635289839991699e-07
9.3,0.6494178058763423,1.2495449950630086e-05,0.3505696859669611,0.999999987293254,1.2706745988744217e-08,0.32138507286551377,2.7130236377285885e-07
9.325,0.6535803741429448,1.2735110655239541e-05,0.34640690269811025,1.0000000119517103,-1.1951710288116146e-08,0.32150254286923036,2.7964696954836e-07
9.35,0.6576823953537734,1.2978065496043852e-05,0.34230465940497723,1.0000000328242467,-3.282424665407291e-08,0.32162250155083444,2.885874529360935e-07
9.375,0.6617282835039271,1.322437147366382e-05,0.33825854093479546,1.000000048810196,-4.881019610714077e-08,0.3217451558342936,2.9814883621516005e-07
9.4,0.6657224500451174,1.3474081521305794e-05,0.3342641352949848,1.0000000594216236,-5.942162362160275e-08,0.32187070588467465,3.0835655748049786e-07
9.425,0.6696692828678954,1.372724410650642e-05,0.33031705455400256,1.0000000646660046,-6.466600455112825e-08,0.3219993453543962,3.192365122602012e-07
9.45,0.6735731268787731,1.398390282337958e-05,0.32641295418456895,1.0000000649661656,-6.496616555828894e-08,0.322131261631539,3.3081510313150813e-07
9.475,0.6774382661076781,1.4244096220585218e-05,0.3225475508157384,1.0000000610196371,-6.101963712090708e-08,0.3222666360755114,3.4311928595506434e-07
9.5,0.6812689072367063,1.4507857467161103e-05,0.3187166386349606,1.000000053729134,-5.372913403078883e-08,0.3224056442428172,3.5617663186166683e-07
9.525,0.6850691644808947,1.4775214090228181e-05,0.31491610436306683,1.0000000440580519,-4.4058051873463455e-08,0.32254845611707206,3.7001537311811533e-07
9.55,0.6888430457380575,1.5046187894729353e-05,0.31114194106388093,1.0000000329898333,-3.298983330957128e-08,0.32269523631503405,3.8466446710943243e-07
9.575,0.6925944398999205,1.532079480223423e-05,0.30739026074759235,1.000000021442315,-2.1442315034647663e-08,0.3228461443122203,4.001536468977809e-07
9.6,0.6963271052555787,1.5599044640550663e-05,0.30365730592358253,1.0000000102238018,-1.0223801805153698e-08,0.32300133463667785,4.1651351484683353e-07
9.625,0.7000446589057826,1.5880941177985727e-05,0.29993946015470185,1.0000000000016624,-1.6624479570737094e-12,0.3231609570819315,4.33775532477498e-07
9.65,0.7037505670841591,1.6166481956467717e-05,0.29623325770145603,0.9999999912675716,8.732428447011387e-09,0.32332515689542435,4.5197216361687266e-07
9.675,0.7074481363515612,1.645565832412921e-05,0.2925353923499371,0.9999999843598225,1.564017748645341e-08,0.3234940749837777,4.7113687407149494e-07
9.7,0.7111405055458124,1.674845530738809e-05,0.2888427254426452,0.9999999794437651,2.055623493646408e-08,0.32366784809819277,4.91304214719299e-07
9.725,0.714830638451804,1.7044851785201e-05,0.28515229323803154,0.9999999765416206,2.3458379350138614e-08,0.3238466090221508,5.12509886857584e-07
9.75,0.7185213171239435,1.7344820292656143e-05,0.2814613136088804,0.9999999755531166,2.44468834065259e-08,0.3240304867603389,5.347907678677656e-07
9.775,0.7222151357858675,1.764832726249795e-05,0.2777671921398758,0.9999999762530057,2.37469942598878e-08,0.3242196067208534,5.581850183698673e-07
9.8,0.7259144952847946,1.7955332942545827e-05,0.2740675277535265,0.9999999783712636,2.1628736357470757e-08,0.32441409089616424,5.82732048774937e-07
9.825,0.7296215980197608,1.8265791563295466e-05,0.2703601177483781,0.9999999815597022,1.8440297844257714e-08,0.32461405804079624,6.084726821931556e-07
9.85,0.7333384433453901,1.8579651384451657e-05,0.26664296247385477,0.9999999854706293,1.4529370706561906e-08,0.32481962384916563,6.354490705525151e-07
9.875,0.7370668233511074,1.8896854889048708e-05,0.2629142695434622,0.9999999897494586,1.0250541415679493e-08,0.3250309011302015,6.637048316148048e-07
9.9,0.7408083190519527,1.9217338928068434e-05,0.2591724576759168,0.9999999940667975,5.9332024848757214e-09,0.3252479999821064,6.932850501067434e-07
9.925,0.7445642969151663,1.9541034837206773e-05,0.2554161601855104,0.999999998135514,1.864486010028088e-09,0.3254710279608974,7.242362704766304e-07
9.95,0.7483359057051729,1.9867868754981417e-05,0.25164422814614107,1.000000001720069,-1.7200689761409649e-09,0.3257000902568667,7.566065820135169e-07
9.975,0.7521240736492099,2.019776184057722e-05,0.24785573324345506,1.0000000046545054,-4.654505447732049e-09,0.3259352898560424,7.904456325614615e-07
10.0,0.7559295058778496,2.053063053511128e-05,0.2440499703267781,1.0000000068351629,-6.835162880136636e-09,0.32617672771546835,8.258045655776306e-07
10.025,0.759752682147834,2.0866386900778146e-05,0.2402264596860989,1.0000000082208336,-8.220833569438923e-09,0.32642450292486214,8.627360811464189e-07
10.05,0.7635938548317229,2.12049390762315e-05,0.2363849490575658,1.000000008828365,-8.828364927992993e-09,0.32667871287651096,9.012944726841107e-07
10.075,0.7674530471597412,2.154619157436509e-05,0.2325254153792316,1.0000000087305472,-8.73054717409616e-09,0.326939453424929,9.415355427531756e-07
10.1,0.7713300517321389,2.1890045785247256e-05,0.22864806626433862,1.0000000080422626,-8.042262633622954e-09,0.3272068190579971,9.835166079285294e-07
10.125,0.7752244292674774,2.2236400579255566e-05,0.22475334124567556,1.0000000069137323,-6.913732253366334e-09,0.32748090305201905,1.0272964680320619e-06
10.15,0.7791355076336252,2.2585152745445186e-05,0.22084191271027137,1.000000005496642,-5.496642030422549e-09,0.3277617976410262,1.0729354152953828e-06
10.175,0.7830623811254303,2.293619774076501e-05,0.21691468663132793,1.000000003954499,-3.9544989505202466e-09,0.3280495941731348,1.1204951105134504e-06
10.2,0.7870039100231362,2.32894303563869e-05,0.2129728029900318,1.0000000024435245,-2.4435244938558753e-09,0.32834438327622145,1.170038571675803e-06
10.225,0.7909587204323794,2.3644745441517906e-05,0.20901763591297962,1.0000000010908006,-1.0908005609877591e-09,0.32864625501418115,1.221630177345377e-06
10.25,0.7949252044164451,2.4002038787761575e-05,0.20505079354747385,1.0000000000027067,-2.7067237340361316e-12,0.3289552990475,1.2753354421565625e-06
10.275,0.7989015204481253,2.436120801033066e-05,0.20107411757600596,0.9999999992321417,7.678583324732813e-10,0.32927160479665185,1.3312210629607965e-06
10.3,0.8028855941727602,2.472215352560477e-05,0.19708968249366393,0.9999999988199497,1.1800502797143508e-09,0.32959526159694663,1.3893547367193973e-06
10.325,0.8068751195370687,2.5084779648660037e-05,0.19309979442151098,0.9999999987382283,1.2617716871332618e-09,0.3299263588561698,1.4498051414631358e-06
10.35,0.8108675602668188,2.5448995683965765e-05,0.18910698967796088,0.9999999989404637,1.0595363475474073e-09,0.3302649862208194,1.5126417443942565e-06
