freq_GHz,sum_eta_H,sum_eta_E_leak,sum_eta_reflection,sum_eta_all_ports,sum_balance_gap,diff_eta_E,diff_eta_H_leak
9.0,0.7332935757380292,1.4630269750600512e-06,0.26670496123565685,1.000000000000661,-6.610267888618182e-13,0.8224957137351004,6.262329500060278e-07
9.025,0.7370150613616723,1.4658306581894216e-06,0.26298115936877975,0.9999976865611102,2.31343888978941e-06,0.821549844847546,6.28355308095414e-07
9.05,0.7406177907654958,1.4694817320738791e-06,0.2593769765347871,0.999996236782015,3.763217985008893e-06,0.8205952638953875,6.305856616908655e-07
9.075,0.744105848496291,1.4739166040530025e-06,0.25588816325623837,0.9999954856691334,4.514330866567384e-06,0.8196320341439549,6.329403599588799e-07
9.1,0.7474835642342739,1.4790855146051482e-06,0.2525102328991962,0.9999952762189847,4.723781015347761e-06,0.8186602151820387,6.354360502290744e-07
9.125,0.7507554708657793,1.4849499451564895e-06,0.24923850949528722,0.9999954653110117,4.534688988311331e-06,0.8176798631541079,6.38089660862246e-07
9.15,0.7539262654699185,1.491480509538122e-06,0.24606817033762862,0.9999959272880566,4.072711943359231e-06,0.8166910309583424,6.409183680211626e-07
9.175,0.7570007732251197,1.4986549794410598e-06,0.2429942838334314,0.9999965557135306,3.4442864693673414e-06,0.81569376841862,6.439395897096654e-07
9.2,0.7599839142380796,1.5064568644213338e-06,0.2400118430334,0.9999972637283441,2.7362716559231615e-06,0.8146881224530901,6.471709558065142e-07
9.225,0.7628806732001935,1.5148740295436272e-06,0.23711579529710192,0.999997983371325,2.016628675050036e-06,0.8136741372117784,6.506303035650126e-07
9.25,0.765696071813963,1.523897591142606e-06,0.2343010684654358,0.99999866417699,1.3358230099846935e-06,0.8126518542085851,6.543356567527462e-07
9.275,0.7684351438311608,1.533521080872976e-06,0.231562593920992,0.9999992712732337,7.287267662636765e-07,0.8116213124324105,6.583052161737009e-07
9.3,0.7711029125704248,1.5437396870274384e-06,0.2288953269421999,0.9999997832523118,2.1674768824198054e-07,0.8105825484644067,6.625573501388095e-07
9.325,0.7737043707599494,1.5545496110534408e-06,0.22629426457388546,1.0000001898834459,-1.8988344585579853e-07,0.8095355965656441,6.671105841480779e-07
9.35,0.7762444625286706,1.5659476620506358e-06,0.22375446141233657,1.0000004898886692,-4.898886691862003e-07,0.8084804887746186,6.719835953764101e-07
9.375,0.7787280673717749,1.5779307960687764e-06,0.2212710434807451,1.0000006887833162,-6.887833161606238e-07,0.8074172549830498,6.771952034798637e-07
9.4,0.7811599859511736,1.5904958972329939e-06,0.21883922050090532,1.0000007969479763,-7.969479762781617e-07,0.8063459230227922,6.827643705207796e-07
9.425,0.7835449275128461,1.6036395147044618e-06,0.21645429672805214,1.000000827880413,-8.278804128902806e-07,0.8052665187234729,6.887101910285977e-07
9.45,0.7858874988081997,1.6173576706180473e-06,0.21411168053553878,1.000000796701409,-7.967014090670688e-07,0.8041790659953899,6.950518957949322e-07
9.475,0.7881921943397131,1.6316458391968616e-06,0.2118068929752871,1.0000007189608393,-7.189608393076696e-07,0.8030835868804226,7.01808854522696e-07
9.5,0.7904633877908456,1.6464988021370823e-06,0.2095355753378551,1.000000609627503,-6.096275029232601e-07,0.8019801016119165,7.090005364932367e-07
9.525,0.7927053245017847,1.6619105662495e-06,0.20729349597872118,1.0000004823910722,-4.823910721984959e-07,0.8008686286744501,7.166466023671228e-07
9.55,0.79492211487307,1.6778744876929726e-06,0.2050765563887924,1.00000034913635,-3.4913635005295873e-07,0.7997491848532067,7.247668119759686e-07
9.575,0.7971177285701284,1.694383200548029e-06,0.202880796701142,1.000000219654471,-2.1965447105642966e-07,0.7986217852822572,7.333810332379586e-07
9.6,0.7992959894318532,1.7114286013985893e-06,0.2007024006360265,1.0000001014964812,-1.0149648121959842e-07,0.7974864434889611,7.425093346374862e-07
9.625,0.8014605709866518,1.7290019775934291e-06,0.198537700010019,0.9999999999986484,1.3515855101786656e-12,0.7963431714407412,7.52171881790121e-07
9.65,0.803614992470149,1.7470940109950685e-06,0.1963831788501052,0.9999999184142652,8.158573483463272e-08,0.7951919795856368,7.623890166888156e-07
9.675,0.8057626152994375,1.7656948869686516e-06,0.19423547712144706,0.9999998581157715,1.4188422847727367e-07,0.7940328768876994,7.731812180011266e-07
9.7,0.8079066399060917,1.784794277373572e-06,0.1920913941903818,0.9999998188907508,1.811092491532662e-07,0.792865870862531,7.845691001073587e-07
