freq_GHz,eta_output,eta_input_reflection,eta_dump,eta_all_external,active_return_loss_min_dB,matched_input_isolation_min_dB,output_path_amplitude_spread_dB,output_path_phase_spread_deg,reciprocity_error_max,singular_value_max,reference_eta_output,eta_output_error
9.0,0.5124089447513246,0.48756370344427435,2.7351805546232864e-05,1.000000000001145,3.097910163842471,7.164437359078548,0.12699430912809836,0.4127381691999997,5.822334945008544e-15,1.0000000000032367,0.5188145876339065,-0.006405642882581941
9.05,0.5917523560366493,0.4082369773299728,2.0584086370251766e-05,1.0000099174529924,3.8645129254013777,7.095183870040299,0.11551035628914443,0.4786482868999944,2.3067071876194374e-14,1.0000096008644868,0.5975541249217116,-0.005801768885062231
9.1,0.6891153741365106,0.3108656865684484,1.4106520121591313e-05,0.9999951672250804,5.031370773554121,7.192152009412086,0.1022116718045102,0.5298271965999909,9.999938370537666e-15,1.0000013010929427,0.6936191012647398,-0.004503727128229218
9.15,0.7982048611346061,0.20178601535434565,8.153551833281009e-06,0.999999030040785,6.8802109263250975,7.498658570128878,0.08720566666812504,0.5654465140000003,1.6092539738594973e-14,1.0000003396466308,0.800625983757073,-0.0024211226224668536
9.2,0.9027928095276463,0.09720578073587749,3.6284170980763073e-06,1.000002218680622,9.992084706403737,8.05801380562858,0.07063701600388074,0.5829900840000068,1.6863501156307425e-14,1.0000025306635003,0.9028948962298623,-0.0001020867022160088
9.25,0.9774437579836424,0.022553667188264095,2.0841191535249703e-06,0.99999950929106,16.1296318880105,8.875459836385517,0.05273865734575347,0.5784584570000085,1.9999949660832866e-14,1.000001455054176,0.9764340395010294,0.001009718482612998
9.3,0.9992067679348571,0.0007883021212072309,5.0081774998120695e-06,1.000000078233564,30.325239808131414,9.86816822089126,0.03400279721160225,0.5461491569999961,2.7165373218896666e-13,1.0000024489955772,0.9997599552497987,-0.0005531873149415834
9.35,0.9640767593375345,0.03591265032298864,1.2698916819750845e-05,1.0000021085773432,14.111689726926915,10.87330278754811,0.01806634461682862,0.48047625800000043,1.039325064658567e-12,1.0000095890953498,0.968754074996225,-0.004677315658690562
9.4,0.889516084719048,0.11048052574369772,2.3861005352587555e-05,1.0000204714680982,9.323918231339794,11.770448595293605,0.028386507934203754,0.37681313100002006,1.0223664313717347e-12,1.0000249474854845,0.8991496548724306,-0.00963357015338262
9.45,0.8002568724173701,0.1997252373970466,3.619594816446939e-05,1.000018305762581,6.786443458816706,12.584262689595299,0.03988830362350559,0.23451036200000344,2.5499627202244602e-14,1.000015074297104,0.8140005528851151,-0.01374368046774499
