freq_GHz,eta_output,eta_input_reflection,eta_dump,eta_all_external,active_return_loss_min_dB,matched_input_isolation_min_dB,output_path_amplitude_spread_dB,output_path_phase_spread_deg
9.0,0.3742676720101659,0.6257303726866362,1.9553007253335676e-06,0.9999999999975273,2.024039064618758,7.6987318393394935,0.015862645332176087,0.1662162374285548
9.025,0.4246063989589244,0.5753938551854509,2.0757742319235665e-06,1.0000023299186072,2.3875705014028457,7.634671791870245,0.015981819006845668,0.16105788701786264
9.05,0.4845951535173726,0.5154065518767073,2.1927351285484167e-06,1.0000038981292083,2.8649054317499916,7.609681523835895,0.01603677826764439,0.15560539360039444
9.075,0.5549108142519591,0.44509131790348816,2.2967569710588837e-06,1.0000044289124184,3.500916136645167,7.636895698811168,0.016019260229671175,0.14984505410988744
9.1,0.6351342344441272,0.3648672687899774,2.37374625137368e-06,1.0000038769803563,4.361967432552883,7.733942063441651,0.015917844512361556,0.14376845379653438
9.125,0.7228179582880095,0.2771820692039477,2.4047418431061352e-06,1.0000024322338004,5.552486995224777,7.923106474171734,0.015717448991519327,0.13737880065168367
9.15,0.8124672394531257,0.1875308905168936,2.3679608723411747e-06,1.0000004979308919,7.244393144025716,8.230020523140881,0.015398894957215966,0.1307002447685664
9.175,0.8950908493542699,0.10490552001883248,2.2446379394110153e-06,0.999998614011042,9.758076318205,8.67830088159139,0.01493874885599803,0.12379124232104963
9.2,0.959354992415526,0.04064028417909543,2.028467857056734e-06,0.9999973050624786,13.855482369039052,9.284540872024007,0.0143098215517461,0.11676282915626826
9.225,0.9948871485706243,0.005108003745717153,1.734300019689306e-06,0.999996886616361,22.76410155693219,10.049515534215983,0.0134829443641408,0.10980167706800269
9.25,0.9964748900552668,0.0035210494238080993,1.3986369725857456e-06,0.9999973381160475,24.351659845863566,10.951499217349284,0.01243089654080133,0.10319525484014368
9.275,0.9663188019793483,0.03367847498483031,1.0685510995080423e-06,0.9999983455152783,14.668935313932202,11.953223773165211,0.011135432460066834,0.09735143854310077
9.3,0.9126035664260407,0.08739513686803449,7.853456249948574e-07,0.9999994886397001,10.550703567587508,13.020697211791282,0.009597830651893558,0.09279752722626064
9.325,0.8457102660715886,0.15428959351273588,5.733794606491084e-07,1.0000004329637853,8.091914470307795,14.144324354933334,0.00785167055851411,0.09013695350209888
9.35,0.7748035807550583,0.2251969971770049,4.3840297740001703e-07,1.0000010163350408,6.455059751688813,15.343776917107874,0.005973429294516525,0.08994464696171862
9.375,0.706259939923125,0.2937409187205667,3.723007400057638e-07,1.0000012309444317,5.30461295753319,16.431304452322802,0.004083362861561651,0.09260578085641732
9.4,0.6436772388067031,0.35632356146568933,3.5949393197980014e-07,1.0000011597663245,4.468498190888254,16.74779806083712,0.0048721567478833905,0.09814816883139846
9.425,0.588593999770628,0.41140653413376727,3.8242359034297916e-07,1.0000009163279855,3.846458535052419,17.145515716483416,0.006125783258080141,0.10615640541002289
9.45,0.5412789348921775,0.45872124581156626,4.254190953250075e-07,1.000000606122839,3.3742135516344716,17.61184277778095,0.006995235160882977,0.11583715957595449
9.475,0.5013323125450437,0.49866751926219977,4.768473482659429e-07,1.000000308654592,3.011642991203667,18.13001113272421,0.007440662410450587,0.12622043502299443
9.5,0.46806913425222046,0.531930409293218,5.29628687501611e-07,1.000000073174126,2.731376684271657,18.131150174404958,0.007485294529093952,0.13639749149126149
9.525,0.4407356663890303,0.5592636748206444,5.805375873342566e-07,0.9999999217472622,2.5139809165212625,16.76582393142175,0.00719615092611319,0.1456884376878611
9.55,0.4186191757971174,0.5813800506328339,6.289565267664549e-07,0.9999998553864782,2.345770624345999,15.467117533391868,0.006658757199450464,0.15369629342546853
9.575,0.40109605046513847,0.5989031346990226,6.756732717096161e-07,0.9999998608374325,2.2170033613322495,14.325489580216711,0.005956766755076432,0.16027185530291346
9.6,0.3876471807123107,0.612352014240362,7.220186563866798e-07,0.9999999169713291,2.12071160825762,13.347770968447092,0.005160559550727377,0.16543922647463558
9.625,0.37785743148637135,0.6221417991417346,7.69376484088768e-07,1.00000000000459,2.05193343362927,12.51451370417393,0.004323596789481598,0.16932124343306698
9.65,0.3714084060603773,0.6285908625175789,8.189687181436323e-07,1.0000000875466744,2.007200405179913,11.801557930429489,0.003483454435739691,0.17208299530401985
9.675,0.3680692406123798,0.6319300489857247,8.718009144747778e-07,1.000000161399019,1.9841968257684832,11.186891126275892,0.00266483740614141,0.17389613476408425
9.7,0.3676876841158422,0.6323115963977571,9.286822096769143e-07,1.0000002091958091,1.9815368423468271,10.65228111624251,0.002651918003423945,0.1749196933094397
9.725,0.37018237179980207,0.6298168629311597,9.90269085352193e-07,1.0000002250000473,1.998625988625532,10.183203468890776,0.003164257991884487,0.1752918314286159
9.75,0.37553647098639603,0.6244626810538809,1.0571075532817293e-06,1.0000002091478302,2.035586583260462,9.768303956442782,0.003626941999361609,0.17512790914178047
9.775,0.38379245554702135,0.61620658209532,1.1296628214804888e-06,1.0000001673051628,2.0932350786591445,9.398816119695578,0.004038478598698017,0.17452179280893027
9.8,0.3950474655100001,0.6049514353155512,1.208332334222331e-06,1.0000001091578854,2.1731056882128943,9.068061876681075,0.0043989296041178835,0.17354849668963448
9.825,0.40944841804568605,0.5905503352049601,1.293440105717147e-06,1.0000000466907517,2.277519546510291,8.771061050487086,0.0047091335397008854,0.17226721043010942
9.85,0.4271856783597164,0.5728129288406809,1.385210417975723e-06,0.9999999924108153,2.4097030511661557,8.504242418433261,0.00497018599128728,0.1707241976868029
9.875,0.4484836209250878,0.5515148529073656,1.483717670467016e-06,0.9999999575501238,2.573963549764043,8.265240203685496,0.005183093881975261,0.16895537341748953
9.9,0.4735857857334552,0.5264125759529651,1.5888080009654072e-06,0.9999999504944213,2.775935833214509,8.05275932255504,0.005348541048105979,0.1669885410655953
9.925,0.5027315846437972,0.4972666908584086,1.6999873037460724e-06,0.9999999754895095,3.0229198819356684,7.866493815192736,0.005466724256506916,0.16484531926782586
9.95,0.5361207690331031,0.4638774465504623,1.8162713017612068e-06,1.000000031854867,3.3243405161997357,7.7070830819331695,0.00553723027719978,0.16254283902396396
9.975,0.573861461939381,0.426136715800567,1.935997505723059e-06,1.0000001137374537,3.6923760165412167,7.576088564820335,0.005558935512630656,0.16009529841465553
10.0,0.6158981466713945,0.38410000727890103,2.056607610801948e-06,1.0000002105579064,4.142831724876989,7.47596865059405,0.005529917821178907,0.15751548091578196
10.025,0.6619186892227605,0.33807944461884426,2.174427616056569e-06,1.0000003082692208,4.696390168850382,7.4100217832694835,0.005447375004726489,0.15481635538637067
10.05,0.7112457139534115,0.28875239282912657,2.2845000709812813e-06,1.0000003912826092,5.380483882577405,7.382258387090889,0.0053075519469425615,0.15201286768864405
10.075,0.7627286686225471,0.23726939597302188,2.3805578631557802e-06,1.0000004451534321,6.232289498524666,7.397155339926913,0.005105685249144534,0.14912404668021242
10.1,0.8146681473447297,0.18532985689066264,2.4552587899760495e-06,1.0000004594941823,7.3027611457908925,7.45925100736227,0.004835984297183427,0.14617560575527047
10.125,0.8648187200780113,0.13517920973661118,2.500799754503172e-06,1.0000004306143773,8.66957670547293,7.572567789936087,0.004491681117701873,0.14320312039041677
10.15,0.9105198909758556,0.08947796205725356,2.509961710867421e-06,1.00000036299482,10.456111111534788,7.739812910098377,0.0040652013560851545,0.14025593546777804
10.175,0.9489828122764817,0.05101497915731758,2.4774832936129294e-06,1.000000268917093,12.887082511726348,7.960674499607057,0.003548532417279068,0.13740176536517432
10.2,0.9777063973573982,0.022291366911863886,2.4014554646717835e-06,1.0000001657247266,16.46368482497391,8.23501586612675,0.0029338944321613174,0.13473181747967186
10.225,0.994926296615303,0.005071490540668747,2.284279509321547e-06,1.0000000714354813,22.832957181661996,8.559837056563955,0.002391273926683102,0.13236579999662917
10.25,0.9999547837909738,4.308343084248668e-05,2.1327767228841772e-06,0.9999999999985393,42.48429889636357,8.931718463793622,0.001788597274366325,0.13045562722101595
10.275,0.993289926668906,0.00670807404941852,1.9573180645124102e-06,0.9999999580363893,21.632682991685538,9.34904856761966,0.0010802011351638916,0.12918566882250948
10.3,0.9764597765850682,0.023538397347545353,1.7702231940524907e-06,0.9999999441558076,16.228113661323068,9.8146367978195,0.0005737105600667524,0.1287664684689096
10.325,0.9516720555693702,0.04832631139934465,1.5839280765642639e-06,0.9999999508967916,13.120596899074194,10.337889127237192,0.001677100759973944,0.12941830070157914
10.35,0.9213997110857137,0.07859884752513752,1.409404558720012e-06,0.9999999680154099,11.016699471860251,10.935757811824956,0.00282023889639666,0.13134175915985594
10.375,0.8880232568444496,0.11197547400412836,1.2551014444155205e-06,0.9999999859500226,9.484789856964772,11.632047037937152,0.003954362792684444,0.13467605091063806
10.4,0.8535958130491147,0.14640305871164555,1.1264443127814473e-06,0.9999999982050731,8.32408548145626,12.455010457477233,0.005019908015741038,0.13945205165143196
10.425,0.8197376171468094,0.180261359331623,1.0258090970411409e-06,1.0000000022875293,7.423277486671535,13.432963287983469,0.005953736234867525,0.14555464884973807
10.45,0.7876301077446612,0.2123689387715389,9.528701465857319e-07,0.9999999993863464,6.713629729469065,14.586111396171459,0.006699540901874812,0.15271212763095396
