common_length_mm,eta_output_min,eta_output_mean,eta_output_max
0.0,0.2358097250555181,0.7032267958642932,0.9999949203472963
0.25,0.23801744586198245,0.7049666977695807,0.9999250755678799
0.5,0.2406366418884488,0.7067006796217353,0.9999746312960984
0.75,0.24368198595256324,0.7084176155104888,0.9999886403713775
1.0,0.24717066338816493,0.7101063631161717,0.9998218341747187
1.25,0.2511225192108499,0.7117559554424785,1.0001392339655735
1.5,0.255560225632562,0.7133557850039987,0.9997945225239478
1.75,0.2605094698350206,0.7148957720000014,1.0002772814605572
2.0,0.2659991614507418,0.716366509177455,0.9999796185869181
2.25,0.2720616585048973,0.7177593777898,1.000175497977202
2.5,0.27873300956037034,0.7190666310908436,1.000195054705841
2.75,0.2860532083756937,0.7202814439378812,0.9999916606742568
3.0,0.29406645539241316,0.7213979290988851,1.0002202311545685
3.25,0.30282141763523746,0.7224111225910669,0.9998566196091484
3.5,0.3123714749051714,0.7233169417082237,1.0000665504680486
3.75,0.3227749351817359,0.7241121202739402,1.0000548187136007
4.0,0.33409519556326117,0.7247941260989715,0.99974569871397
4.25,0.34640081642301357,0.7253610656826804,1.0000851358854905
4.5,0.35976546522227953,0.7258115809685121,0.9999724775794417
4.75,0.3676876841158422,0.7261447425434301,0.9999547837909738
5.0,0.3651749839506604,0.7263599431617618,0.99995182352366
5.25,0.3629469392000705,0.7264567949659525,0.9998235057846777
5.5,0.3605746421257928,0.7264350333466492,1.0000111251895567
5.75,0.3582999415554458,0.7262944300925462,0.9997459308370769
6.0,0.35608111550428256,0.7260347183714219,0.9999170510293415
6.25,0.3537461498379919,0.7256555321886717,0.9999074510172568
6.5,0.3516945316815344,0.7251563633059157,0.999806431718406
6.75,0.34928594675468927,0.7245365391720471,0.9999852705611623
7.0,0.3474159767443715,0.7237952262035262,0.9998971332697018
7.25,0.34492065814110684,0.7229314636985686,0.9999370690103203
7.5,0.3430466855139928,0.7219442346796703,0.9999494851663147
7.75,0.34065257294984597,0.7208325808537691,0.9997476414123248
8.0,0.33867145191484643,0.7195957693762057,0.9999763777650479
8.25,0.3364849649887038,0.7182335187840977,0.9997709407146527
8.5,0.3343844254154082,0.7167462897545975,0.9999881320549979
8.75,0.33242211736795646,0.7151356425410255,0.9996655835220409
9.0,0.33019010342294974,0.7134046563091143,0.9999918874016883
9.25,0.32846935083362383,0.7115583955837069,0.9998833277550586
9.5,0.3260939869652457,0.7096043956191666,1.0000034378430882
9.75,0.3243000684544892,0.7075531227612423,0.999984538796292
10.0,0.32210260633009286,0.7054183503357637,0.9999841247500952
10.25,0.32014726560312773,0.7032173795532661,0.9999740060699225
10.5,0.3182235525658601,0.7009710338254526,0.9999649518808401
10.75,0.3160957478791022,0.6987033688631676,0.999856905820352
11.0,0.314465516713225,0.6964410722689142,0.9999209745631528
11.25,0.312154307975851,0.6942125720641121,0.9996389354556168
11.5,0.31039502063917473,0.6920469244886277,0.9999679977035777
11.75,0.30833282150137037,0.689972594006613,0.9993264332103495
12.0,0.30637385407919343,0.6880162598263385,0.9999949533690093
12.25,0.304642296122699,0.6862017765515857,0.9993954514419846
12.5,0.3024734875321007,0.6845493842146423,0.9999410264476636
12.75,0.30083492198252304,0.6830752153458498,0.9996413074869439
13.0,0.2987060824373384,0.6817910977056553,0.9998135717685159
13.25,0.2968425337159915,0.6807046125170709,0.9998169300610632
13.5,0.2950849751583935,0.679819345604083,0.9996206534858826
13.75,0.29298701438788755,0.6791352629300406,0.9999340466405676
14.0,0.29139893549860135,0.6786491487172603,0.9993710616039593
14.25,0.2892828077083082,0.6783550581582699,0.9999919088252772
14.5,0.28744636248964883,0.6782447527218858,0.9990743012949326
14.75,0.28574559778063885,0.6783081007223882,0.9999944160393871
15.0,0.2836519955139605,0.6785334372991493,0.9991688553049731
15.25,0.2820491718346282,0.678907885685044,0.9999635241742035
15.5,0.28003256852053854,0.6794176458835947,0.9994165849966339
15.75,0.27815987575401513,0.6800482582944674,0.9999017998553994
16.0,0.2766061613156162,0.680784849221126,0.9998818798261202
16.25,0.2744552847922817,0.6816123633321607,0.9998181447471306
16.5,0.2727774168634854,0.6825157856981787,0.9999780302371711
16.75,0.27095446973902393,0.6834803535311538,0.9999915071385361
17.0,0.2689869811749488,0.6844917556192183,0.9997109046057773
17.25,0.2674791010488576,0.6855363159460467,1.0001915495693734
17.5,0.26541281618210744,0.6866011572441775,0.9997715682482912
17.75,0.2636043957844162,0.6876743402640821,1.0002533185472355
18.0,0.2620764550640001,0.68874497524724,0.9998810618775877
18.25,0.25996014767833486,0.6898033032962954,1.000222462579428
18.5,0.25828766658209956,0.6908407468218776,0.9999837989867432
18.75,0.25656878172067527,0.6918499297933408,1.000130823905376
19.0,0.2545787829267968,0.6928246699373664,1.0000437157125643
19.25,0.25302023900985715,0.6937599461724422,0.9999999447792606
19.5,0.25113943389427856,0.6946518453574185,1.0000736919251154
19.75,0.24925431032764556,0.6954974928460887,0.9998439418530783
20.0,0.247788779905581,0.6962949714028829,1.0000820829625026
20.25,0.24577607010531793,0.6970432328063567,0.9996717850419856
20.5,0.24397549014904235,0.6977420060236824,1.0000742001265917
20.75,0.24258309292164226,0.6983917052605089,0.9999977593639323
21.0,0.24046946149684678,0.6989933405491507,1.0000534209503107
21.25,0.23873415658513583,0.6995484328935582,0.9994857733918427
21.5,0.23729752938286247,0.7000589353855845,1.0000219887885273
21.75,0.23521338183329835,0.70052716117176,0.9995929311845314
22.0,0.2335251159741748,0.7009557186975522,0.999989551342066
22.25,0.2322234027554248,0.7013474542907177,0.9997138748985382
22.5,0.23130108042441552,0.7017054018629276,0.999933599666969
22.75,0.23075309133556204,0.7020327393007083,0.9998344852767009
23.0,0.23057643721124055,0.702332750971598,0.9998795511427202
23.25,0.2307701525780737,0.702608795677296,0.9999356703492779
23.5,0.2313352962072555,0.7028642793307697,0.9998210262818685
23.75,0.2322749605025575,0.7031026316082902,0.9999927400340349
24.0,0.23359429889785838,0.7033272858211125,0.9999936704781789
24.25,0.2353005714407077,0.7035416612576022,0.9999747635270774
24.5,0.23740320884235114,0.7037491472592297,0.9996980183290457
24.75,0.23991389535949606,0.7039530883087173,0.99988683968997
25.0,0.24284667092839932,0.7041567694228305,0.9996378002581504
25.25,0.24621805298409086,0.7043634011542214,0.9999116624835382
25.5,0.2500471783487689,0.7045761035158877,0.9995815679381785
25.75,0.2543559654395988,0.7047978881488814,0.9999293961160873
26.0,0.2591692967953075,0.7050316380606457,0.9999215748027905
26.25,0.2645152215102269,0.7052800842707587,0.9999411599142985
26.5,0.27042517653693837,0.7055457787170545,0.9999916962658063
26.75,0.27693422489902825,0.705831062803601,0.9999919311611868
27.0,0.28408130754460476,0.7061380310196795,0.9999139137480005
27.25,0.291909503739564,0.7064684891340014,0.9999495427763999
27.5,0.30046629237913713,0.7068239065804061,0.9998920179435131
27.75,0.3098038031711436,0.7072053628107081,0.9999462948900552
28.0,0.31997904204060257,0.7076134876080812,0.9994442316693368
28.25,0.33105406898025846,0.7080483956407985,0.9999370382991718
28.5,0.34309609850511213,0.7085096158999189,0.9994596692849153
28.75,0.34477377902606426,0.7089960171107718,0.9999680318583385
29.0,0.3429416341717378,0.7095057307364627,0.9995698094861508
29.25,0.34150825651383454,0.7100360737939867,0.9998917482284585
29.5,0.33930926594006267,0.7105834743619801,0.9995409184500368
29.75,0.33771705506400296,0.7111434033446914,0.9998482748677819
30.0,0.3359882185289967,0.7117103167292501,0.9999450029022695
