freq_GHz,eta_output,eta_input_reflection,eta_dump,eta_all_external,active_return_loss_min_dB,matched_input_isolation_min_dB,output_path_amplitude_spread_dB,output_path_phase_spread_deg,reciprocity_error_max,singular_value_max,reference_eta_output,eta_output_error
9.0,0.37114825621480035,0.6288484508444707,3.2929402808050746e-06,0.9999999999995519,1.9980281417246382,7.692522168367633,0.016431168679430626,0.0997166795999994,1.0691481060292432e-15,1.0000000000022438,0.36891069644111546,0.002237559773684894
9.05,0.4804027663152739,0.519592307519106,5.594785384376563e-06,1.0000006686197642,2.820254517648766,7.598263442714595,0.018389201975726126,0.10997488239999816,1.0000200161306801e-12,1.000000966454879,0.4764637356493171,0.0039390306659568
9.1,0.6299214281229583,0.37006906523424105,9.518268761859582e-06,1.0000000116259613,4.281878020638007,7.712454587599572,0.022935533384177816,0.12900852350000167,9.999896713254586e-13,1.000000385190218,0.6239282375117305,0.005993190611227717
9.15,0.8072611296011707,0.19272323556482943,1.567464928193828e-05,1.0000000398152822,7.087538149974188,8.190671795253198,0.02712603215317467,0.1590271213000048,9.684377743742568e-14,1.0000000843714738,0.800110800874078,0.0071503287270926474
9.2,0.9564177728637487,0.043558551548531554,2.357256074163498e-05,0.999999896973022,13.442899876073023,9.22367206598403,0.030391375669243367,0.20261824499999326,6.528707347214686e-13,1.0000000940106488,0.9515500233964068,0.00486774946734192
9.25,0.9971751929120273,0.0027942731099270955,3.052859278562927e-05,0.99999999461474,24.7556188298366,10.874102732360784,0.031639000604319074,0.2613144769999876,1.166231532512941e-14,1.0000000787266274,0.9984198036178243,-0.0012446107057970668
9.3,0.9153952580175904,0.08457128133596861,3.3432698344978505e-05,0.999999972051904,10.556167719850396,12.942824518782132,0.02917983595752977,0.33188550800000327,9.999731712881862e-13,1.0000000314480262,0.9222570605566058,-0.006861802539015471
9.35,0.7774277802825009,0.2225406275891373,3.160905422918094e-05,1.0000000169258674,6.415137460226438,15.282243953608674,0.02135312758581013,0.400818895000025,1.0855115160902965e-13,1.0000001199704687,0.786470913858812,-0.009043133576311035
9.4,0.645141337083509,0.3548322693005288,2.641628887678074e-05,1.0000000226729147,4.416010577188178,16.79153081024416,0.01716805729883996,0.4442673780000185,1.252760947040121e-14,1.0000000232875992,0.6539427270681657,-0.008801389984656738
9.45,0.5415105130435403,0.45846969472436183,1.988692928341237e-05,1.0000000946971854,3.3226918455649583,17.662366825611056,0.031779978222099436,0.44347722200000034,1.0000127612714773e-12,1.0000000616184606,0.5492691857459846,-0.007758672702444347
9.5,0.4672550097929694,0.5327308787896965,1.3875035149083314e-05,0.9999997636178151,2.6868480073106085,17.958104978459456,0.04394613986943602,0.40254283900000903,3.5911204271171084e-15,1.0000000662740338,0.4739657779895427,-0.006710768196573291
9.55,0.416928010301306,0.5830623579617524,9.313168673308345e-06,0.9999996814317318,2.3067946747998422,15.346972301651169,0.051536929086353114,0.34212620520000014,5.625106895978331e-13,1.0000001274856989,0.42282058074590056,-0.005892570444594569
9.6,0.385166626508574,0.6148270952530842,6.218311216856822e-06,0.999999940072875,2.0838237833039406,13.266475326509353,0.054994719471747,0.2835964596999983,1.4326877605010344e-14,1.0000000721709033,0.39049393653206443,-0.005327310023490461
9.65,0.3681448113295917,0.6318509336114904,4.222045430321887e-06,0.9999999669865123,1.9701556347779183,11.74272699214804,0.055703888576217574,0.2342308299999992,1.0000594267956129e-13,1.0000000905850985,0.3731283311570928,-0.004983519827501115
