delta_length_mm,eta_output_min,eta_output_mean,eta_output_max
-0.5,0.5180807314882374,0.7914671862335431,0.9975212469774816
-0.4,0.5181987981842537,0.7920070332683475,0.9983060878361752
-0.30000000000000004,0.518290584348358,0.7924304443727441,0.9989629760342318
-0.20000000000000004,0.5183561284533993,0.7927372386445547,0.9994455546951895
-0.10000000000000003,0.5183954578335547,0.7929272850780001,0.9997511826728359
-2.7755575615628914e-17,0.5184085886689689,0.7930005027208307,0.999879721907864
0.09999999999999998,0.5183955259772629,0.7929568607698363,0.9998311027498787
0.19999999999999998,0.5183562636118864,0.7927963786044706,0.9996053240070909
0.3,0.5182907842673115,0.792519125758499,0.9992024529990232
0.4,0.5181990594910699,0.792125221829755,0.9986226256120486
0.5,0.518081049702659,0.791614836328275,0.9978660463573681
