freq_GHz,sum_eta_H,sum_eta_E_leak,sum_eta_reflection,sum_eta_all_ports,sum_balance_gap,diff_eta_E,diff_eta_H_leak
9.0,0.6708363103136437,4.157588376971356e-08,0.3291636481098694,0.9999999999993968,6.031841692788475e-13,0.811068956364014,4.5633415612549854e-08
9.025,0.6756495706401175,3.771080707451112e-08,0.32435153213358403,1.0000011404845086,-1.1404845086104842e-06,0.8102208373143204,4.6246815512432104e-08
9.05,0.6803305559159805,3.408366499143856e-08,0.3196708535569363,1.0000014435565818,-1.4435565818260443e-06,0.8093632385921185,4.692195615650153e-08
9.075,0.6848838962687778,3.071468730330171e-08,0.3151173494442855,1.0000012764277506,-1.276427750607212e-06,0.8084962602257966,4.766269146420118e-08
9.1,0.6893143706876,2.762496626565641e-08,0.31068649520578173,1.000000893518348,-8.935183479774622e-07,0.8076199964175794,4.847295044521779e-08
9.125,0.6936268885503886,2.483651837923617e-08,0.30637354809767026,1.0000004614845772,-4.614845772188403e-07,0.8067345361856821,4.9356740028645714e-08
9.15,0.6978264707785645,2.2372355168300815e-08,0.30217358728349686,1.0000000804344167,-8.043441668270646e-08,0.8058399639198496,5.031814118613455e-08
9.175,0.701918230750267,2.0256522921242805e-08,0.2980815506270304,0.9999998016338204,1.983661795934566e-07,0.8049363598315434,5.136131332108174e-08
9.2,0.7059073550694159,1.8514163868624587e-08,0.2940922684238528,0.9999996420074325,3.579925674790374e-07,0.804023800333294,5.24904912112755e-08
9.225,0.7097990843310265,1.717154280855746e-08,0.2902004942652228,0.9999995957677921,4.042322079289562e-07,0.803102358339888,5.370998735743342e-08
9.25,0.7135986940302025,1.6256087464460115e-08,0.286400933253693,0.9999996435399829,3.5646001705913477e-07,0.8021721035169402,5.502419042592058e-08
9.275,0.7173114757211261,1.579640589500123e-08,0.2826882677353114,0.9999997592528435,2.407471565435415e-07,0.8012331024833877,5.64375691430056e-08
9.3,0.7209427185825426,1.582231504596683e-08,0.27905718078053676,0.9999999151853943,8.481460567200116e-08,0.8002854189692896,5.795466854809817e-08
9.325,0.7244976914903137,1.6364841883218513e-08,0.27550237757311924,1.000000085428275,-8.542827489854687e-08,0.7993291139329228,5.9580112789675354e-08
9.35,0.7279816257151733,1.7456229485552364e-08,0.27201860490858454,1.0000002480799872,-2.480799872195405e-07,0.798364245662567,6.131860733464083e-08
9.375,0.7313996983407137,1.912994273461231e-08,0.26860066892202306,1.0000003863926794,-3.8639267940787647e-07,0.7973908698516601,6.317493751046093e-08
9.4,0.7347570164937175,2.1420652452532112e-08,0.2652434512659084,1.0000004891802783,-4.891802782847066e-07,0.7964090396449263,6.515397274684296e-08
9.425,0.738058602414237,2.436421895131334e-08,0.26194192380704023,1.0000005505854963,-5.505854963061552e-07,0.7954188056845807,6.726066613076812e-08
9.45,0.7413093794719186,2.799767863388497e-08,0.25869116205028075,1.000000569519878,-5.695198779243071e-07,0.7944202161376919,6.950005767766933e-08
9.475,0.7445141591086287,3.235921346485638e-08,0.25548635731885916,1.0000005487867014,-5.48786701415338e-07,0.793413316718654,7.187727762175926e-08
9.5,0.7476776287605899,3.748811600978351e-08,0.252322827890631,1.0000004941393368,-4.941393367818847e-07,0.7923981506954527,7.43975456119345e-08
9.525,0.7508043407435753,4.3424759983793325e-08,0.24919602910569555,1.0000004132740308,-4.1327403077495717e-07,0.7913747589061927,7.706618407269643e-08
9.55,0.7538987020951792,5.021055630193009e-08,0.2461015625724292,1.0000003148781647,-3.1487816465336493e-07,0.7903431797632444,7.98885997530745e-08
9.575,0.7569649653618317,5.7887907449423825e-08,0.24303518457387963,1.0000002078236188,-2.0782361875859579e-07,0.7893034492513242,8.287032309927865e-08
9.6,0.7600072202754751,6.650016434108928e-08,0.23999281366606112,1.0000001004417005,-1.00441700512377e-07,0.7882556009358584,8.601697365685915e-08
9.625,0.7630293863063403,7.609156964007274e-08,0.2369705376026009,1.000000000000511,-5.10924635932497e-13,0.7871996659602764,8.933429483099387e-08
9.65,0.7660352060063259,8.670721728140015e-08,0.23396461962222784,0.999999912335771,8.766422898709436e-08,0.7861356730447878,9.282815176735716e-08
9.675,0.7690282391279571,9.839299327742654e-08,0.23097150412330492,0.9999998416442554,1.5835574462830238e-07,0.7850636484879358,9.650453050171043e-08
9.7,0.7720118574257294,1.1119552860910381e-07,0.22798782177700916,0.9999997903982671,2.096017328589994e-07,0.7839836161683693,1.0036954953985332e-07
9.725,0.7749892400918217,1.251621553455173e-07,0.22501039418696603,0.9999997594409431,2.405590568965721e-07,0.7828955975381044,1.0442947857964785e-07
9.75,0.7779633697718951,1.4034084851078125e-07,0.22203623801624572,0.9999997481289893,2.51871010714666e-07,0.7817996116260751,1.0869073204271556e-07
9.775,0.7809370290779342,1.5678020137860307e-07,0.219062568722763,0.9999997545808985,2.4541910148556667e-07,0.7806956750331531,1.1315989604018922e-07
9.8,0.7839127975562189,1.74529385238756e-07,0.21608680388551937,0.9999997759711236,2.2402887644989988e-07,0.7795838019349488,1.1784372511544483e-07
9.825,0.7868930490400219,1.9363812410361108e-07,0.21310656616167045,0.9999998088398164,1.9116018357134834e-07,0.7784640040748827,1.2274916745639774e-07
9.85,0.7898799493369014,2.1415667720764096e-07,0.21011968591902175,0.9999998494126003,1.5058739966100632e-07,0.777336290760028,1.2788338310974929e-07
9.875,0.7928754542009091,2.3613585111729393e-07,0.20712420355197858,0.9999998938887388,1.0611126122217485e-07,0.7762006688647154,1.3325374348032306e-07
9.9,0.7958813075442311,2.596269852441942e-07,0.20411837154644197,0.9999999387176584,6.128234164570756e-08,0.7750571428157378,1.3886787849851267e-07
9.925,0.7988990398485692,2.846820216721418e-07,0.20110065626393714,0.999999980794528,1.920547199052436e-08,0.7739057145927731,1.4473367634852658e-07
9.95,0.8019299667370635,3.1135351673562195e-07,0.19806973954529616,1.0000000176358763,-1.7635876314869847e-08,0.7727463837291496,1.5085932407526504e-07
9.975,0.8049751876912195,3.3969474796243415e-07,0.19502452006589543,1.0000000474518629,-4.7451862883463036e-08,0.7715791472892265,1.572533301370191e-07
10.0,0.8080355848778618,3.6975980478771203e-07,0.1919641145652165,1.000000069202883,-6.920288297962429e-08,0.7704039998784721,1.6392456507099435e-07
10.025,0.8111118220837605,4.0160372518300264e-07,0.18888785889093124,1.000000082578417,-8.257841699332857e-08,0.76922093362897,1.7088229247967916e-07
10.05,0.8142043437515792,4.3528266232926663e-07,0.18579530889078438,1.000000087925026,-8.792502592669393e-08,0.7680299381927306,1.7813621687060091e-07
10.075,0.8173133740799466,4.7085410240072945e-07,0.18268624120486443,1.0000000861389136,-8.61389135575763e-08,0.7668310007402703,1.8569652900124555e-07
10.1,0.8204389162585816,5.083771332452096e-07,0.1795606539105427,1.0000000785462575,-7.854625749814659e-08,0.765624105952077,1.9357396960966062e-07
10.125,0.8235807517679257,5.479127357956076e-07,0.1764187670567265,1.000000066737388,-6.67373880602895e-08,0.7644092360178736,2.0177989040237805e-07
10.15,0.8267384398192054,5.895241545526539e-07,0.17326102306286184,1.0000000524062218,-5.2406221806577946e-08,0.7631863706349198,2.1032632134495226e-07
10.175,0.8299113169126398,6.332773470806357e-07,0.1700880870264693,1.0000000372164561,-3.7216456139077536e-08,0.7619554870041862,2.1922606278106758e-07
10.2,0.8330984965617861,6.792414776428827e-07,0.16690084686195916,1.000000022665223,-2.2665223031737014e-08,0.7607165598391903,2.2849277093785422e-07
10.225,0.8362988691793981,7.274895119888838e-07,0.1637004133036096,1.0000000099725197,-9.972519698919768e-09,0.7594695613652538,2.3814107279511415e-07
10.25,0.8395111021598407,7.780988989528302e-07,0.16048811973958876,0.9999999999983284,1.6715517858756357e-12,0.7582144613338516,2.48186682900814e-07
10.275,0.8427336402087451,8.311523649265838e-07,0.1572655218621151,0.9999999932232251,6.7767749190039694e-09,0.7569512270322866,2.58646544584664e-07
10.3,0.8459647058823782,8.86738800800652e-07,0.15403439710025943,0.9999999897214383,1.0278561668464192e-08,0.755679823298553,2.6953898720644866e-07
10.325,0.8492023004296383,9.449543160170065e-07,0.15079674383575042,0.9999999892197047,1.078029532308733e-08,0.754400212545031,2.808839080726363e-07
10.35,0.8524442048997429,1.0059034147190688e-06,0.14755478032898417,0.9999999911321418,8.867858225514169e-09,0.7531123547848269,2.927029787539194e-07
10.375,0.8556879815597843,1.069700333970702e-06,0.1443109434071989,0.9999999946673173,5.332682739833672e-09,0.7518162076546123,3.050198769809804e-07
10.4,0.8589309756228558,1.1364706087858866e-06,0.14106788683372562,0.9999999989271902,1.0728098409629183e-09,0.7505117264572153,3.178605594275954e-07
10.425,0.8621703172852554,1.2063528184349103e-06,0.13782847938050874,1.0000000030185825,-3.018582495073474e-09,0.7491988642030718,3.312535624385199e-07
10.45,0.8654029240543892,1.2795005480617937e-06,0.13459580260231702,1.0000000061572543,-6.1572542620069726e-09,0.7478775716468694,3.4523036129900704e-07
10.475,0.8686255033740027,1.356084724844471e-06,0.13137314830687852,1.000000007765606,-7.765605936072006e-09,0.7465477973473824,3.598257664820586e-07
10.5,0.871834555470374,1.4362961527365775e-06,0.1281640157861104,1.0000000075526372,-7.552637182328681e-09,0.7452094877224393,3.7507839031846075e-07
10.525,0.8750263763843715,1.5203485137834061e-06,0.12497210880902546,1.0000000055419107,-5.541910708117825e-09,0.7438625871085982,3.9103117433063756e-07
10.55,0.8781970611100395,1.6084816887047735e-06,0.12180133249012007,1.0000000020818482,-2.0818482493467627e-09,0.7425070378280898,4.0773200051277375e-07
10.575,0.88134250672865,1.7009656481393143e-06,0.11865579012235192,0.99999999781665,2.183349945283908e-09,0.741142780273703,4.2523439913377263e-07
10.6,0.8844584153910076,1.7981048607678045e-06,0.11553978010976483,0.9999999936056332,6.3943668138222165e-09,0.739769752970248,4.435983584422451e-07
