freq_GHz,sum_eta_H,sum_eta_E_leak,sum_eta_reflection,sum_eta_all_ports,sum_balance_gap,diff_eta_E,diff_eta_H_leak
9.0,0.7801209935666552,4.234692479386911e-06,0.21987477174078104,0.9999999999999156,8.43769498715119e-14,0.8340182284951171,9.151314796399006e-07
9.025,0.782865945700594,4.2733370503463346e-06,0.21712445705723904,0.9999946760948834,5.323905116649819e-06,0.8330632174509642,9.170750407455984e-07
9.05,0.7855060804811558,4.312654351748584e-06,0.21448108421025872,0.9999914773457662,8.522654233789062e-06,0.8321007277123789,9.189647272405547e-07
9.075,0.7880451251191509,4.3527135518807715e-06,0.21194043701373289,0.9999899148464356,1.0085153564376448e-05,0.8311307912722068,9.208087562289969e-07
9.1,0.7904870141298946,4.393572150327703e-06,0.209498160242544,0.9999895679445889,1.0432055411069285e-05,0.8301534422358101,9.226161498005182e-07
9.125,0.7928358547545149,4.435277022210198e-06,0.2071497915619405,0.9999900815934776,9.918406522424483e-06,0.8291687160932751,9.243966739215176e-07
9.15,0.7950958948405291,4.477865506524611e-06,0.20489078965402735,0.999991162360063,8.83763993697606e-06,0.8281766491008815,9.261607750714441e-07
9.175,0.7972714931751312,4.5213664733573686e-06,0.20271655889916979,0.9999925734407744,7.426559225587326e-06,0.8271772777470383,9.279195207561324e-07
9.2,0.799367092235609,4.565801165471218e-06,0.20062247105861813,0.9999941290953926,5.870904607352401e-06,0.8261706383077494,9.296845488765487e-07
9.225,0.8013871933331497,4.611184060506576e-06,0.19860388423503522,0.9999956887522454,4.311247754573699e-06,0.8251567664769199,9.314680094140848e-07
9.25,0.8033363340212474,4.657523640860204e-06,0.19665615945423787,0.9999971509991261,2.8490008738835115e-06,0.8241356970572079,9.332825134929321e-07
9.275,0.8052190676703865,4.7048231013494545e-06,0.1947746752114473,0.9999984477049352,1.5522950648216849e-06,0.8231074637188913,9.351410921074023e-07
9.3,0.8070399451068164,4.753081002191297e-06,0.1929548401719558,0.9999995383597744,4.616402256019114e-07,0.8220720988033496,9.370571523029343e-07
9.325,0.8088034981415219,4.802291723952392e-06,0.19119210434869557,1.0000004047819413,-4.047819412988929e-07,0.8210296331737605,9.390444327801037e-07
9.35,0.810514224867391,4.852446186055281e-06,0.18948196895500724,1.0000010462685842,-1.046268584214971e-06,0.819980096103353,9.411169708305645e-07
9.375,0.8121765765895603,4.903532139074756e-06,0.18781999509673938,1.0000014752184387,-1.4752184387401002e-06,0.8189235152068861,9.432890829267913e-07
9.4,0.8137949462249029,4.9555346294771645e-06,0.18620181152488705,1.0000017132844194,-1.7132844194467367e-06,0.8178599163889818,9.455753152444787e-07
9.425,0.8153736580315316,5.008436468817695e-06,0.18462312158815036,1.0000017880561507,-1.78805615069777e-06,0.8167893238183946,9.479904344801829e-07
9.45,0.8169169585589386,5.062218494765582e-06,0.18307970947511962,1.000001730252553,-1.7302525530116242e-06,0.8157117599320992,9.505494053792392e-07
9.475,0.8184290086552812,5.116859868905887e-06,0.18156744592168694,1.000001571436837,-1.5714368371000376e-06,0.8146272454471475,9.532673675072932e-07
9.5,0.8199138764308425,5.172338474587808e-06,0.18008229341693432,1.0000013421862515,-1.3421862514739757e-06,0.8135357993840034,9.561596216668254e-07
9.525,0.8213755310554719,5.228631116128856e-06,0.17862031104917764,1.0000010707357656,-1.0707357656070116e-06,0.812437439109299,9.592416267729164e-07
9.55,0.8228178372981274,5.285713741964087e-06,0.17717765896790372,1.0000007819797732,-7.81979773156749e-07,0.8113321803759367,9.625289873268166e-07
9.575,0.8242445506844285,5.343561762094528e-06,0.1757506026226399,1.0000004968688305,-4.968688305240221e-07,0.810220037378402,9.660374454985565e-07
9.6,0.8256593132124403,5.402150233535492e-06,0.17433551672663933,1.000000232089313,-2.3208931310136904e-07,0.8091010228017563,9.697828542064514e-07
9.625,0.8270656495261565,5.4614539815615515e-06,0.17292888902139603,1.000000000001534,-1.5341061754270413e-12,0.8079751478833298,9.737812540902057e-07
