freq_GHz,eta_output,eta_input_reflection,eta_dump,eta_all_external,active_return_loss_min_dB,matched_input_isolation_min_dB,output_path_amplitude_spread_dB,output_path_phase_spread_deg
9.0,0.36891069644109376,0.6310873647921574,1.938764325158978e-06,0.9999999999975764,1.987098018020831,7.710017063339704,0.015804799114038065,0.1668183978828198
9.025,0.4179542357193318,0.5820459455214202,2.0589621662875756e-06,1.0000022402029183,2.337747231349711,7.641352722786903,0.015931766149431384,0.16171424551992153
9.05,0.4764637356497012,0.5235378489115553,2.1766106421723224e-06,1.0000037611718986,2.7970425382621027,7.610183000359029,0.01599562534375561,0.1563192646829831
9.075,0.5451971658804882,0.4548048378174264,2.282896463753491e-06,1.0000042865943783,3.407305653646831,7.628993989107507,0.015988562367201843,0.15061956159118448
9.1,0.6239282375113523,0.37607316238977956,2.3644989128321297e-06,1.0000037644000446,4.230947560645902,7.714635709801936,0.015899697870123183,0.14460579826088765
9.125,0.7105611053502046,0.28943886180470535,2.4032130221568673e-06,1.000002370367932,5.365104822923526,7.888599240447823,0.01571458890561846,0.13827913750060056
9.15,0.800110800874061,0.1998873090506208,2.3775658199878976e-06,1.0000004874905017,6.968161241915509,8.17598397918772,0.015414779979544192,0.1316599967547819
9.175,0.8841265219688502,0.1158698453702576,2.2680012773438255e-06,0.9999986353403854,9.328102096479142,8.600997231160129,0.014977589906431674,0.12480065145682294
9.2,0.951550023397049,0.04844523919277464,2.065844867521465e-06,0.9999973284346914,13.097217871774038,9.181145621877686,0.01437648193213836,0.11780260271285121
9.225,0.9916954303821184,0.008299677170250904,1.782426635881845e-06,0.9999968899790049,20.688734136658105,9.920333459931003,0.013582590925460405,0.11083879834810333
9.25,0.9984198036187732,0.001576064999400398,1.4511689724216973e-06,0.9999973197871461,27.75376203827093,10.80017549090558,0.012568238518589141,0.10417856266012264
9.275,0.9727996371610488,0.027197565879902748,1.1181960193391274e-06,0.9999983212369711,15.590426639091408,11.785218820275563,0.011313385569006898,0.0982085746155294
9.3,0.9222570605562512,0.0777415905671774,8.26309268493278e-07,0.9999994774326972,11.05675990888571,12.839993434723603,0.009815576484680994,0.09343621822924883
9.325,0.8570035354631333,0.1429963071959695,6.026681077026012e-07,1.0000004453272102,8.420884934185214,13.950607049877933,0.00810244828201183,0.09045455745358832
9.35,0.7864709138586864,0.21352968217051815,4.5573856150405353e-07,1.0000010517677658,6.685394620129123,15.133172753313184,0.006242984440117385,0.0898486516789413
9.375,0.7174574762321317,0.28254342641019525,3.7929612738512613e-07,1.0000012819384545,5.47289975710254,16.387410297946193,0.004350428449976724,0.09204259582687295
9.4,0.6539427270675693,0.346058131109911,3.587114417612929e-07,1.000001216888922,4.5950490166275495,16.688441202641386,0.00463237207103469,0.09712924946491361
9.425,0.5977358558051087,0.40226473915713956,3.765896395853685e-07,1.0000009715518878,3.9437008309853585,17.07211959915914,0.005935751380617199,0.10476630864182475
9.45,0.5492691857459451,0.4507310515081828,4.1687289085368237e-07,1.0000006541270188,3.4505351987528288,17.526570054374655,0.006869438886491967,0.11421525175120122
9.475,0.5082286116710291,0.4917712678947515,4.6725542120953073e-07,1.0000003468212018,3.072102522630067,18.035744638878164,0.007382886654502707,0.12452399793080046
9.5,0.47396577799049855,0.5260338030682246,5.199525297017422e-07,1.0000001010112527,2.779753742082728,18.36270315864755,0.007489777362371473,0.13476486480183786
9.525,0.44573582821660246,0.5542635407967873,5.711737711301091e-07,0.9999999401871609,2.552944438081645,17.008213909114506,0.007251215970168867,0.14421724566145008
9.55,0.4228205807456329,0.5771786654827588,6.199378009873887e-07,0.9999998661661927,2.3772316701805978,15.688155489441854,0.0067507645026034235,0.1524397034705591
9.575,0.4045844330956621,0.5954147660829554,6.668463171313914e-07,0.9999998660249347,2.2423418005848084,14.517535331405245,0.006072956536689651,0.15924672995823863
9.6,0.3904939365319794,0.609505268939751,7.131642658230111e-07,0.9999999186359961,2.1409252397012897,13.512258283378056,0.005290469029781354,0.164638297629026
9.625,0.38011935312927014,0.6198798866006421,7.602747008877639e-07,1.0000000000046132,2.0677374847645753,12.655336235990063,0.004459391924792442,0.16872413998511193
9.65,0.37312833115730615,0.6268709468226478,8.094258668072612e-07,1.0000000874058208,2.0190942034036192,11.92276692255146,0.0036196650039015343,0.17166416657406228
9.675,0.3692769906879819,0.6307223099023969,8.61655397920273e-07,1.0000001622457768,1.9925080314305426,11.292014573833828,0.0027978688421496523,0.17362969026110164
9.7,0.3684009877610784,0.6315983061849642,9.178008391266142e-07,1.0000002117468814,1.9864497521512867,10.744201851480087,0.0025242853868722853,0.17478192978079374
9.725,0.37040764116529384,0.629591609867753,9.785406853013285e-07,1.0000002295737322,2.000197950370656,10.26421275662209,0.0030432928776627953,0.17526227863921112
9.75,0.3752694016970736,0.6247297695644074,1.044437192727952e-06,1.0000002156986738,2.0337549149060936,9.840196403326754,0.0035132875881879458,0.17518953411900648
9.775,0.3830184853227528,0.61698057418271,1.1159681720272545e-06,1.0000001754736347,2.0878157126355297,9.462981165850348,0.0039323888060492,0.17466078164330937
9.8,0.3937421805669436,0.6062567442220826,1.1935428427299693e-06,1.000000118331869,2.1637838508837293,9.12555908398616,0.0043004346464817975,0.1737538604465369
9.825,0.40757805551255494,0.5924207230649743,1.2774994566798775e-06,1.0000000560769857,2.2638319852044146,8.822677483129137,0.004618153816384434,0.17253034743654466
9.85,0.4247079503288222,0.5752906827043088,1.368082859918023e-06,1.0000000011159909,2.3910105208804135,8.55053387980085,0.004886609976450946,0.17103847524269186
9.875,0.4453491915569681,0.5546493077133772,1.465399021169558e-06,0.9999999646693662,2.5494113564939624,8.30655885887531,0.005106831965627194,0.1693157531292115
9.9,0.4697408728347135,0.5302575130309971,1.569342402455638e-06,0.9999999552081129,2.7443990636305076,8.089270170004161,0.005279563957264626,0.16739125113810432
9.925,0.4981223265735913,0.5018759710984829,1.6794909283759601e-06,0.9999999771630026,2.9829283196833876,7.898182326368018,0.005405092120342481,0.16528756645525594
9.95,0.530700168403726,0.4692980667678737,1.7949639872308382e-06,1.000000030135587,3.2739757745715115,7.733756450333168,0.005483116489720096,0.1630225474705909
9.975,0.567599815603909,0.432398378791838,1.914242356312329e-06,1.0000001086381034,3.6291293460080665,7.597373601070567,0.005512648127251832,0.16061085945351009
10.0,0.6087977481542124,0.39120041939772365,2.0349564317077875e-06,1.0000002025083674,4.063403650455896,7.4913105667735085,0.005491920086879639,0.15806549542695375
10.025,0.6540329982552945,0.34596514619326824,2.1536660373627518e-06,1.0000002981146001,4.59639889990786,7.418689939341718,0.005418305623531559,0.15539934765849037
10.05,0.7027018080445931,0.2972963064788418,2.265680093139475e-06,1.0000003802035282,5.254019668877202,7.3833672225052,0.005288244479170904,0.15262694650357564
10.075,0.7537493813018965,0.24624868819437476,2.3649981012337777e-06,1.0000004344943727,6.071185373814648,7.38971023480153,0.005097184584336245,0.14976648584433958
10.1,0.8055870555251969,0.1944109504957396,2.4444869433804756e-06,1.00000045050788,7.095536993016678,7.442227745381976,0.004839555972866707,0.1468423135379708
10.125,0.8560782411681896,0.14391968659070875,2.4964137637186134e-06,1.0000004241726623,8.398243624412297,7.545027618894013,0.004508806137307498,0.1438879674748169
10.15,0.9026426180762082,0.09735522787761569,2.5134030045944e-06,1.0000003593568283,10.090899304058325,7.701144265970918,0.004097544812542499,0.1409499186337343
10.175,0.9425116976097921,0.05748608030264089,2.4897502140308654e-06,1.0000002676626472,12.370636200894161,7.910592326714151,0.0035978685102748065,0.13809200670664887
10.2,0.9731211921964259,0.026876550892239184,2.422827133275533e-06,1.0000001659157987,15.656345638306963,8.173413947728667,0.0030019640113449434,0.13540044851340743
10.225,0.9925574286387985,0.007440329184767666,2.3141447291090012e-06,1.0000000719682953,21.18862727289386,8.48702547072064,0.00247954541105399,0.13298887180555954
10.25,0.9999227690848436,7.50612706789401e-05,2.1696431432372817e-06,0.9999999999986656,40.34107117149902,8.847992822683988,0.0018979023508825506,0.13100233575694423
10.275,0.9954914714960396,0.00450648661267309,1.999013141697344e-06,0.9999999571218545,23.338155377277946,9.25422626964687,0.001210231220834881,0.12961838599095385
10.3,0.9806031571906298,0.019394971050370406,1.814225005448359e-06,0.9999999424660059,17.063458357099485,9.707542157424234,0.0004250209518112129,0.12904227641882202
10.325,0.9573453515222197,0.042652969665700244,1.6277255448107456e-06,0.9999999489134647,13.66044832400372,10.215954884999988,0.0015142025909853328,0.12949280550521103
10.35,0.9281469216745988,0.07185159382362755,1.4507999669244596e-06,0.9999999662981935,11.405061560790394,10.794889490155056,0.0026504048191089234,0.13117567889128662
