delta_length_mm,eta_output_min,eta_output_mean,eta_output_max
-1.0,0.36856869729173186,0.7196398788786781,0.9868629237956886
-0.95,0.368555073521181,0.7202641715229536,0.9881318152078264
-0.8999999999999999,0.36854194979076427,0.7208569601373419,0.989336946555076
-0.8499999999999999,0.3685293372305975,0.7214181301629636,0.9904780866895497
-0.7999999999999998,0.3685172463608556,0.7219475728483284,0.991555016708243
-0.7499999999999998,0.3685056870936505,0.7224451853133541,0.9925675299996063
-0.6999999999999997,0.3684946687348078,0.7229108706101341,0.9935154322871934
-0.6499999999999997,0.36848419998553567,0.7233445377803859,0.9944020170516653
-0.5999999999999996,0.36847428894399353,0.7237461019095133,0.9952408383327244
-0.5499999999999996,0.36846494310675393,0.7241154841772272,0.9960127288402087
-0.4999999999999996,0.36845616937015874,0.7244526119046615,0.9967175433794674
-0.4499999999999996,0.3684479740315742,0.7247574185979375,0.9973551492252406
-0.39999999999999963,0.3684403627905355,0.7250298439881221,0.997925426155604
-0.34999999999999964,0.3684333407497897,0.7252698340675376,0.9984282664827229
-0.29999999999999966,0.36842691241622944,0.7254773411223816,0.9988635750804375
-0.24999999999999967,0.368421081701726,0.7256523237616185,0.9992312694086655
-0.19999999999999968,0.3684158519238488,0.7257947469421102,0.9995312795346402
-0.1499999999999997,0.3684112258064849,0.7259045819899584,0.9997635481509837
-0.09999999999999969,0.36840720548034933,0.7259818066180326,0.9999280305906101
-0.049999999999999684,0.36840379248338845,0.7260264049396634,1.0000246948384677
3.191891195797325e-16,0.3684009877610784,0.7260383674784873,1.0000535215401234
0.05000000000000032,0.3683987916666154,0.7260176911744292,1.0000145040071837
0.10000000000000032,0.368397203961,0.7259643793858183,0.9999076482195565
0.15000000000000033,0.3683962238130152,0.7258784418876313,0.9997329728245511
0.20000000000000034,0.3683958497990963,0.725759894865869,0.999490509132822
0.25000000000000033,0.3683960799030959,0.7256087609080696,0.9991803011111419
0.3000000000000003,0.3683969115159406,0.7254250689899695,0.9988024053720187
0.3500000000000003,0.368398341435183,0.7252088544583296,0.998356891160137
0.4000000000000003,0.36840036586444536,0.7249601590099425,0.9978438403356353
0.4500000000000003,0.36840298041275854,0.7246790306668482,0.9972633473542041
0.5000000000000003,0.3684061800937935,0.7243655237477844,0.99661551924401
0.5500000000000004,0.36840995932498855,0.7240196988359032,0.995902250465487
0.6000000000000004,0.3684143119265675,0.7236416227427936,0.9951431289850964
0.6500000000000005,0.3684192311204562,0.7232313684688472,0.9943188982186542
0.7000000000000005,0.3684247095290917,0.7227890151600141,0.9934297160006883
0.7500000000000006,0.3684307391741248,0.7223146480609971,0.9924757526032085
0.8000000000000006,0.36843731147502096,0.721808358464936,0.9914571906998326
0.8500000000000006,0.36844441724755417,0.7212702436596395,0.9903742253271177
0.9000000000000007,0.3684520467021978,0.7207004068704251,0.9892270638430711
0.9500000000000007,0.3684601894424114,0.7200989571996287,0.9880159258827981
1.0000000000000007,0.36846883446282275,0.7194660095628527,0.9867410433112552
