freq_GHz,P1_RL_dB,P2_RL_dB,P3_RL_dB,P4_RL_dB,Sigma_RL_dB,Delta1_RL_dB,Delta2_RL_dB,Delta3_RL_dB,worst_modal_conversion_dB
9.0,12.609972668920966,12.604610988271022,6.631006920497093,1.2348200199451025,0.9841505936075118,1.1858257537463805e-05,1.185051413932436,0.18941702320151368,-7.001687289827454
9.025,12.650014481029677,12.643030695325416,6.607539626422741,1.2386414186940202,0.9831129904529601,6.662638143993611e-06,1.183626091289515,0.19001961484255422,-7.007968755373705
9.05,12.690450901865475,12.681818979667849,6.584157167268083,1.2425417799658922,0.9822913465060432,3.8419940462574095e-06,1.1822772732513196,0.1905473064992136,-7.013486627771673
9.075,12.731303658651656,12.72099935828007,6.560828907216409,1.246518357156829,0.9816822303474583,2.71313726295287e-06,1.1809977660196287,0.19100047490497657,-7.018262574343549
9.1,12.772595856457254,12.760596508563335,6.537525232619683,1.250568731298035,0.9812818460439864,2.734153187821448e-06,1.1797806657528487,0.191379780205449,-7.02231916177917
9.125,12.814351756476077,12.800636075636575,6.514217630713023,1.2546907830185305,0.9810860783906801,3.4833747041588887e-06,1.1786193521538573,0.1916861521439747,-7.025679759271491
9.15,12.8565965681681,12.84114449145047,6.490878763116431,1.2588826660607166,0.9810905340118513,4.640450054757614e-06,1.1775074813489965,0.191920775979671,-7.028368446646839
9.175,12.899356255217537,12.88214880567049,6.467482534050628,1.2631427824721966,0.9812905785475624,5.969394568350848e-06,1.176438978229481,0.19208507825625076,-7.030409927412265
9.2,12.942657355160705,12.923676528198083,6.444004153195213,1.2674697595672344,0.9816813701678268,7.303515582490858e-06,1.1754080284056498,0.19218071252405602,-7.031829446598796
9.225,12.986526812448194,12.965755483127806,6.420420193120981,1.2718624287232405,0.9822578896625891,8.532099982802808e-06,1.1744090699069352,0.19220954510716987,-7.032652713241969
9.25,13.030991824627222,13.00841367387595,6.396708641230989,1.2763198060521113,0.9830149673614861,9.588754513953778e-06,1.1734367847423506,0.1921736409937797,-7.032905827317
9.275,13.076079701262328,13.051679159159907,6.372848946151102,1.2808410749637726,0.9839473071368954,1.0441289393518569e-05,1.1724860904207532,0.19207524992070862,-7.032615210921707
9.3,13.121817735152089,13.095579939460368,6.348822058518131,1.2854255706182784,0.9850495077426833,1.1083036739544858e-05,1.1715521315154611,0.19191679271258238,-7.031807543489155
9.325,13.168233085348904,13.140143853557031,6.324610466123044,1.2900727662448062,0.9863160817354967,1.15254960436334e-05,1.1706302713451964,0.1917008479298547,-7.0305097008018125
9.35,13.215352671443608,13.185398484692207,6.300198223378328,1.2947822612896784,0.9877414722209121,1.1792199757624594e-05,1.1697160838307685,0.19143013887206345,-7.028748697576047
9.375,13.263203078539691,13.231371075887528,6.2755709750930855,1.299553771341232,0.9893200676580587,1.1913693241007069e-05,1.1688053455769019,0.19110752097715267,-7.026551633385825
9.4,13.311810472310274,13.278088453913359,6.2507159745550425,1.3043871197673762,0.9910462149475845,1.192352407253229e-05,1.167894028218728,0.19073596965206158,-7.023945641699952
