first_stage,second_stage,length_mm,eta_min,eta_mean,eta_max,active_return_loss_min_dB,matched_input_isolation_min_dB
l1p4_s6p2,l1p4_s6p2,1.0,0.5014001653024963,0.7914074852531084,0.9999712246869613,2.9923954042992578,7.143155877577723
l1p4_s6p2,l1p4_s6p2,1.02,0.5022724434623447,0.7914969350921568,0.9999818462430791,2.9999913287780506,7.1426586150390206
l1p4_s6p2,l1p4_s6p2,1.04,0.5031495765304859,0.7915857850004064,0.9999779780465624,3.007642920890603,7.142231451408079
l1p4_s6p2,l1p4_s6p2,1.06,0.5040315759423205,0.7916740307672574,0.999959620608604,3.015350552308061,7.141874493942417
l1p4_s6p2,l1p4_s6p2,1.08,0.5049184531049374,0.7917616682172994,0.999926776358211,3.0231145982609537,7.141587851067412
l1p4_s6p2,l1p4_s6p2,1.1,0.505810219395197,0.7918486932105347,0.999879449641461,3.0309354375746276,7.141371632345788
l1p4_s6p2,l1p4_s6p2,1.12,0.5067068861577783,0.7919351016425918,0.9998186111224175,3.0388134527051403,7.141225948446674
l1p4_s6p2,l1p4_s6p2,1.1400000000000001,0.5076084647031984,0.792020889444931,0.9998656711472914,3.046749029775566,7.141150911114141
l1p4_s6p2,l1p4_s6p2,1.1600000000000001,0.5085149663057938,0.7921060525850433,0.9999034968600348,3.0547425586127708,7.141146633135282
l1p4_s6p2,l1p4_s6p2,1.1800000000000002,0.5094264022016759,0.7921905870666405,0.9999320838349198,3.062794432784626,7.14121322830778
l1p4_s6p2,l1p4_s6p2,1.2000000000000002,0.5103427835866458,0.7922744889298377,0.9999514287261869,3.0709050496376906,7.1413508114069915
l1p4_s6p2,l1p4_s6p2,1.2200000000000002,0.5112641216140822,0.7923577542513284,0.999961529268859,3.0790748103353516,7.141559498152523
l1p4_s6p2,l1p4_s6p2,1.2400000000000002,0.5121904273927907,0.7924403791445508,0.999962384279297,3.087304119896434,7.141839405174303
l1p4_s6p2,l1p4_s6p2,1.2600000000000002,0.513121711984821,0.7925223597598471,0.9999780399425798,3.095593387234313,7.142190649978132
l1p4_s6p2,l1p4_s6p2,1.2800000000000002,0.5140579864032484,0.7926036922846157,0.999986959886883,3.1039430251964633,7.142613350910728
l1p4_s6p2,l1p4_s6p2,1.3000000000000003,0.5149992616099206,0.792684372943454,0.9999777686480649,3.1123534506045547,7.143107627124242
l1p4_s6p2,l1p4_s6p2,1.3200000000000003,0.5159455485131674,0.7927643979982943,0.9999504675050674,3.120825084295005,7.1436735985402375
l1p4_s6p2,l1p4_s6p2,1.3400000000000003,0.516896857965477,0.7928437637485337,0.999905060258049,3.129358351160072,7.144311385813156
l1p4_s6p2,l1p4_s6p2,1.3600000000000003,0.5178532007611331,0.7929224665311528,0.9998415532270973,3.136720263015657,7.145021110293225
l1p4_s6p2,l1p4_s6p2,1.3800000000000003,0.5184085886689689,0.7930005027208306,0.999879721907864,3.1360603434202483,7.145802893988838
